|morphs|origin
0|['마루', '올라가', 'ㄴ', '거', '처음', '봉', '다', 'ㅋㅋㅋ', '귀여워']|마루 올라간거 처음봉다 ㅋㅋㅋ 귀여워
1|['마루', '방석', '에', '가', '았', '네', '?']|마루 방석에갔네?
2|['네', 'ㅇ']|넹
3|['둘', '다', '좋아하', 'ㄹ', '수도', '있', '잖아']|둘다 좋아할수도 있잖아
4|['승', '딸', '님', '못', '받', '은', '분', '들', '이', '피', 'ㅇ', 'ㅠ', '님', '한테', '가', 'ㅁ']|승딸님 못받은분들이 피유님한테감
5|['아쉽', '시', '었', '겠', '다']|아쉬우셨겠다
6|['그래서', '사실', 'ㅜㅜ', '시스템', '이', '좀', '안타깝', '었', '음']|그래서 사실ㅜㅜ 시스템이 좀 안타까웠음
7|['둘', '다', '좋아하', 'ㄹ', '수', '도', '있', '지']|둘 다 좋아할 수도 있지
8|['그래서', '보', '기', '만', '하', '았', '어요', 'ㅠ', 'ㅠ']|그래서 보기만 했어요 ㅠㅠ
9|['아예', '줄', '을', '세', '줄', '로', '나누', '었', '으', '므', 'ㄴ', '좀', '더', '좋', '았', '을', '거', '가트', 'ㄴ', '데', 'ㅇ']|아예 줄을 세줄로 나눴으믄 좀 더 좋았을거가튼뎅
10|['술취', '하', '아서']|술취해서
11|['뜨', 'ㄴ', '금']|뜬금
12|['앞머리', '많이', '자라', '았', '네', '이', '어', '예쁘', '어요']|앞머리 많이 자랐네여 예뻐요
13|['ㄱ', 'ㅗ', '것', '은', '의식의 흐름']|고것은 의식의 흐름
14|['그렇', '게요']|그러게요
15|['소통', '당하', 'ㅁ']|소통당함
16|['오', '아', '마약', '방석', '앉', '앗', '다']|와 마약방석 앉앗다
17|['쏙', '들어가', 'ㄴ', '거', '졸', '크', '어', '당']|쏙들어간거 졸커당
18|['저것', '잘', '쓰', '네요', '이제']|저거 잘쓰네요 이제
19|['마루', '가', '귀여워', '트', 'ㄹ', '수', '가', '귀엽', '어', '?', '?', '?', '?']|마루가 귀여워 트수가 귀여워????
20|['그것', '안', '달려가', '았', '으면', '못', '받', '는데']|그거 안달려갔으면 못받는데
21|['그중', '하', 'ㄴ', '명', 'ㅋㅋ', 'ㅋㅋ']|그중한명 ㅋㅋㅋㅋ
22|['사인', '받', '으려면', '뛰', '어야', '하', '아요', '?']|사인받으려면 뛰어야해요?
23|['나', '도', '뛰어가', '았', '는데', 'ㅋㅋ']|나도뛰어갔는데 ㅋㅋ
