|morphs|origin
0|['지키', '어', '주', '시', '어요', ':', '★', '비속어', '사용', 'X', ',', '시청자', '간', '닉', '언', 'X', ',', '시청자', '의', '방송', '중재', ',', '타스', '트리', '머', '비하', ',', '타', '방송', '중계', 'X', ',', '외모', '이야기', 'X', ',', '게임', '관련', '없', '는', '이야기', 'X', ',', '병먹금', '필수', '!', ',', '방송', '내', '의', '클립', '이나', '사진', '은', '트', '게', '더', '이외', '에', '올리', '지', '마', '세', '요', '(', '필수', ')', '★']|지켜주세요 : ★ 비속어 사용 X, 시청자간 닉언 X, 시청자의 방송 중재, 타스트리머 비하, 타방송 중계 X, 외모 이야기 X, 게임 관련 없는 이야기 X, 병먹금 필수!, 방송 내의 클립이나 사진은 트게더 이외에 올리지 마세요(필수) ★
1|['ㄲ', 'ㅠ']|뀨
2|['오늘', 'ㅇ', 'ㅗ', '뱅어', 'ㅄ', '이', 'ㄴ', '가요', 'ㅜ']|오늘 오뱅없인가요 ㅜ
3|['5', '~', '6', '시', '에', '오', 'ㄴ다고', '하', '았', '어', '이', '어']|5~6시에 온다고 했어여
4|['아하', '!', '감사', '합니다', '알리', '어', '주', '시', '어서']|아하! 감사합니다 알려주셔서
5|['아', '왔다', '가시', '었', '었', '네', '채팅', '차', 'ㅇ']|아 왔다가셨었네 채팅창
6|['오늘', '5', '시', '에서', '6', '시사', '이', '방송', '맞', '나', '이', '어', '?']|오늘 5시에서 6시사이 방송 맞나여?
7|['트', '게', '더', '공지', '는', '그렇', '게', '쓰', '어', '있', '던', '데', '영']|트게더 공지는 그렇게 써있던데영
8|['안', '오', '았', '는', '거', '같', '은데', '요']|안왔는거 같은데요
9|['오', '았', '네', 'ㅋ']|왔네 ㅋ
10|['말', '하', '자', '말', '자', '오', '았', '네']|말하자 마자 왔네
11|['초승달', 'is', 'now', 'live', '!', 'Streaming', 'Just', 'Chatting', ':', '\uf319', '안녕하세요']|초승달 is now live! Streaming Just Chatting: 🌙 안녕하세요
12|['ㅇ', 'ㅗ']|오
13|['알', 'ㄴ', 'ㄴ', 'ㅗ', 'ㅇ', '~']|안농~
