|morphs|origin
0|['지', '맥', '이', '악령', '의', '책', '을', '쓰', '어', '?']|지맥이 악령의책을 써?
1|['키', 'ㅇ', '지구', 'ㄴ']|킹지군
2|['데', 'ㄱ', '압축', 'ㅇ', 'ㄱ', 'ㅇ']|덱압축 ㅇㄱㅇ
3|['데', 'ㄱ', '압축']|덱압축
4|['멋', '지구', 'ㄴ', '~']|멋지군~
5|['데', 'ㄱ', '압축', '개', '꿀']|덱압축 개꿀
6|['이미소', 'ㄴ', '에', '있', '구', '열', 'ㄴ']|이미손에있구연
7|['데', 'ㄱ', '압축', 'ㅋㅋ', 'ㅋㅋ']|덱압축 ㅋㅋㅋㅋ
8|['데', 'ㄱ', '압축', 'ㄱ', '꿀', 'ㅋㅋ', 'ㅋㅋ']|덱압축 ㄱ꿀ㅋㅋㅋㅋ
9|['데', 'ㄱ', '압축', 'ㅋㅋ']|덱압축 ㅋㅋ
10|['데', 'ㄱ', '압축', 'ㅋㅋ', 'ㅋㅋ']|덱압축ㅋㅋㅋㅋ
11|['데', 'ㄱ', '압축', 'ㄱㅅㄱㅅㄱㅅㄷㅅ']|덱압축 ㄱㅅㄱㅅㄱㅅㄷㅅ
12|['이미', '다', '있', '는', '거', '이', 'ㅁ', 'ㅋㅋ']|이미 다있는거임 ㅋㅋ
13|['멋지', '어']|멋져
14|['상대', '다모', '이', '었', '네', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|상대 다모였네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
15|['키', 'ㅇ', '치구', 'ㄴ', '!']|킹치군!
16|['ㅇ', 'ㅗ']|오
17|['효', '니야', '꺼마워요좀', '하', '아', '주', '어라', 'ㅡㅡ']|효니야 꺼마워요좀 해줘라 ㅡㅡ
18|['개', 'ㄱ', 'ㅗ', '수']|개고수
19|['실력', '뭐', 'ㄴ', '데']|실력뭔데
20|['실력', '보', '아']|실력봐
21|['다음', '터', 'ㄴ', '사망']|다음턴 사망
22|['이미', '다', '모으', 'ㅁ', 'ㅋㅋㅋ']|이미 다모음 ㅋㅋㅋ
23|['데', 'ㄱ', '압축', '보', '아', 'ㄷㄷ']|덱압축봐 ㄷㄷ
24|['입추', 'ㄱ', '개', '꿀']|입축개꿀
25|['하나', '줄', '이', '었', '는데', '저', '걸', '내', 'ㄴ다고', '?']|하나줄였는데 저걸낸다고?
26|['자가', 'ㅇ', '두천']|자강두천
27|['하나', '줄이', '어도', '되', 'ㅁ']|하나 줄여도 됨
28|['하나', '줄', '이', 'ㅁ']|하나줄임
29|['다음', '터', 'ㄴ', '죽', '는다']|다음턴 죽는다
30|['멋지', '군', '날리', '어', '주', '어']|멋지군 날려줘
31|['키', 'ㄹ', '각', '?', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|킬각? ㅋㅋㅋㅋㅋㅋ
32|['하나', '줄', '이', '어도', '환영', '쓰', '면', '되', '자', '너']|하나줄여도 환영쓰면되자너
33|['설마', '다', '있', '는', '거', '이', 'ㅁ', '?']|설마 다있는거임?
34|['카드', '가', '끼', 'ㅇ', '지구', 'ㄴ', '!']|카드가 낑지군!
35|['카드', '가', '멋', '지구', 'ㄴ', '!!']|카드가 멋지군!!
36|['하나', '줄', '이', '면', '안', '되', 'ㄹ텐데', '7', '2', '2', '1', '이', '잖아']|하나줄이면 안될텐데 7 2 2 1이잖아
37|['하나', '줄', '이', '어도', '되', 'ㅁ']|하나줄여도됨
38|['지금', '홀수', '기사', '카운터', '가', '뭐', 'ㄴ가요', '?']|지금 홀수기사 카운터가 뭔가요?
39|['그냥', '도발', '하', '는', '거', '아니', 'ㄹ', '까']|그냥 도발하는거 아닐까
40|['안', '되', '어']|안돼
41|['하나', '줄', '이', '었', '는데', '이것']|하나줄였는데 이거
