|morphs|origin
0|['오', '아']|와
1|['ㄱ', 'ㅗ', '수다']|고수다
2|['오', '아', 'ㄷㄷㄷ']|와 ㄷㄷㄷ
3|['역시', '느', '그', '이', '란', '드']|역시 느그란드
4|['느', '그', '서랍', '안', '보', '았', '어요']|느그 서랍 안봤어요
5|['와이프', '만', '만나', '는', '거', 'ㄴ', '맞', '네']|와이프만 만나는건 맞네
6|['다', '끝내', '어', '버리', '자', '썩', '을', '놈', '으', '동료', '들']|다 끝내버리자 썩을놈으 동료들
7|['느', '그', '이', '란', '드', '서랍', '보', '죠']|느그란드 서랍 보죠
8|['느', '그', '서랍', '안', '보', '시', '었', '어요']|느그서랍안보셨어요
9|['느', '그', '이', '란', '드', '서랍', 'ㄱㄱ']|느그란드 서랍 ㄱㄱ
10|['느', '그', '이', '란', '드', '서랍']|느그란드 서랍
11|['느', '그', '서랍', '알', 'ㄴ', '봄']|느그 서랍 안봄
12|['차', 'ㅇ', '-', 'ㄱ', 'ㅗ']|창-고
13|['ㅇ', 'ㅗ', '이', 'ㅇ']|오잉
14|['돈', '뜯기', '었', '다']|돈뜯겼다
15|['형', '명성', '까', '이', '었', '어', '.', '.']|형 명성까였어..
16|['외국', '영화', 'ㅋㅋ', 'ㅋㅋ']|외국영홬ㅋㅋㅋ
17|['외국', '돈', '아니', 'ㅁ', 'ㅋㅋㅋ']|외국돈 아님 ㅋㅋㅋ
18|['그러면', '금지', '되', 'ㄴ', '방송', '이', 'ㄴ가', '?']|그러면 금지된 방송인가?
19|['외국', '돈', '이', '요', '멀', 'ㄴ', '소', '립', '이', '니까', 'ㅋㅋ', 'ㅋㅋ']|외국 돈이요 먼소립니까 ㅋㅋㅋㅋ
20|['돈', '아니', 'ㄴ', '가요', 'ㅋㅋ', 'ㅋㅋ']|돈 아닌가욬ㅋㅋㅋ
21|['영', '화', '살', 'ㄴ', '업']|영 화 산 업
22|['농담', '하', '시', 'ㄴ듯']|농담하신듯
23|['오', '아', '!', '베스', '!']|와! 베스!
24|['어', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
25|['드', '립', '이', '라고', '하', '아', '주', '시', '어요']|드립이라고 해주세요
26|['제발', '드', '립', '이', '라고', '하', '아', '주', '시', '어요', 'ㅠ', 'ㅠ', 'ㅠ']|제발 드립이라고 해주세요 ㅠㅠㅠ
27|['외국', '영화', '도', '맞', '기', 'ㄴ', '맞', '지', '외화']|외국영화도 맞긴맞지 외화
28|['그', '게', '왜', '나오', '아요']|그게 왜 나와요
29|['돈', '이', 'ㄴ가', '?']|돈인가?
30|['제발', '드', '립', '이', '라고', '하', '아', '주', '시', '어요', 'ㅜㅜㅜㅠㅠㅠ']|제발 드립이라고 해주세요 ㅜㅜㅜㅠㅠㅠ
