|morphs|origin
0|['오', '아', '약탈', '또', '나오', '았', '네']|와 약탈 또나왔네
1|['그것', 'ㄴ', '좀']|그건 좀
2|['맛있', '기', 'ㄴ', '하네']|맛있긴하네
3|['그것', 'ㄴ', '아니', 'ㅁ']|그건아님
4|['그것', 'ㄴ', '좀']|그건좀
5|['C9', '이', '니까']|C9니까
6|['그것', 'ㄴ', '좀', '..']|그건 좀..
7|['저것', '몇', '가루', '정도', '들', '나요', '?']|저거 몇 가루 정도 드나요?
8|['좀', '그만', '이기', '어', '데', 'ㄱ', '좋', '아', '보이', '잖아']|좀그만이겨 덱 좋아보이잖아
9|['그것', 'ㄴ', '놈']|그건 놈
10|['씨', '나', '이', 'ㄴ', '루', 'ㄱ', '삼']|씨 나 인 룩 삼
11|['너무', '가', '았', '는데', '.']|너무 갔는데.
12|['그것', 'ㄴ', '좀', '선', '넘', '었', '네']|그건좀 선넘었네
13|['그것', 'ㄴ', '좀', 'ㅋㅋ']|그건 좀 ㅋㅋ
14|['간', '신배', 'ㄴ']|간신밴
15|['그것', 'ㄴ', '좀', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|그건좀 ㅋㅋㅋㅋㅋㅋ
16|['그', '거', 'ㄴ', '점']|그건점
17|['씨', '--', '이', '구']|씨--구
18|['그것', 'ㄴ', '아니', 'ㅁ']|그건 아님
19|['라', '스타', '칸', '목소리', '가', '넘', '우', '달달', '하', 'ㅁ']|라스타칸 목소리가 넘우 달달함
20|['그', '거', 'ㄴ', '좀', '4']|그건좀4
21|['그것', 'ㄴ', '좀', '..']|그건좀..
22|['폭력배', '는', '들', '고', '가', '아야지']|폭력배는 들고가야지
23|['2', '터', 'ㄴ', '에', '동전', '약탈']|2턴에 동전약탈
24|['해저', 'ㄱㄷ', 'ㅗ', '발', '은', '빼', '자']|해적도발은빼자
25|['약탈', '빽', 'ㅗ', '다', '거르', 'ㄴ다']|약탈빼고 다 거른다
26|['경마', '플', 'ㅗ', '는', '왜', '없', '지', '?']|경마 프로는 왜 없지?
27|['뭔', '데', '루', 'ㄱ', '삼', '한테', '다', '호스팅', '박', '았', '냐', '?']|뭔데 룩삼한테 다 호스팅 박았냐?
28|['닉', '왜', '저러', '어', '하', '아']|닉 왜저래
29|['공포의 해적', '저', 'ㄱ', '폐', '카드']|공포의 해적 적폐카드
30|['오', '아', '멀리건', '시간', '다', '쓰', '는', '플', 'ㅗ', '의', '마인드']|와 멀리건 시간 다 쓰는 프로의 마인드
31|['두어', 'ㄱ', 'ㅋ']|두억 ㅋ
32|['이', '데', 'ㄱ', '만', '들', '만', '하', 'ㅁ', '?']|이덱만들만함?
33|['두어', 'ㄱ', '?']|두억?
34|['ㅇ', 'ㅗ']|오
35|['두어', 'ㄱ', '이', '네']|두억이네
36|['미치', '었', '다']|미쳤다
37|['얼', '러', '이', '라', '부서지', '어라']|어러라 부서져라
38|['미치', '었', '네', '?']|미쳤네?
39|['오', '아', '.', '.', '실력자', '다']|와.. 실력자다
40|['이', '.', '데', 'ㄱ', '으로', '강의', '하', '아', '주', '어요']|이.덱으로 강의해줘요
41|['오', '아', '씹', '사기', 'ㄴ', '데']|와 씹사긴데
42|['님', '들', '아야', '합', '아야', '합', '사태', '가', '뭐', '에', '이', '어', '?', '?', '?']|님들 얍얍사태가뭐에여???
43|['상대', '개', '빠', 'ㄱㄱ', 'ㅗ', '수']|상대 개빡고수
44|['옆', '에', '데', 'ㄱ', '트리거', '이', 'ㄴ가요', '?', '?', '?', '?']|옆에 덱트리거 인가요????
45|['오', '아']|와
46|['키', 'ㅇ', '스타', '칸', 'ㄷㄷ']|킹스타칸 ㄷㄷ
47|['미래', '바', 'ㅇ', '플', 'ㄷㄷ']|미래방플ㄷㄷ
48|['미안', '하', 'ㄴ데', '이', '데', 'ㄱ', '비밀', '냥', '만나', '면', '숨터', 'ㄱ', '막히', 'ㄹ', '듯']|미안한데 이덱 비밀냥 만나면 숨턱 막힐듯
49|['좀', '하', '는', '놈', '이', 'ㄴ데', '?']|좀 하는놈인데?
50|['바', 'ㅇ', '플', 'ㅇ', '니', '네']|방플ㅇ니네
51|['디', '지', '었', '다', 'ㄹㅇ']|디졌다 ㄹㅇ
52|['바', 'ㅇ', '플', ';']|방플;
53|['중국', '플', 'ㅗ', '네']|중국프로네
54|['키', 'ㅇ', '스', '타', '칸']|킹 스 타 칸
55|['쌉', 'ㄱ', 'ㅗ', '수', '그', '자체']|쌉고수 그 자체
56|['바', 'ㅇ', '플', '하네']|방플하네
57|['개', 'ㄱ', 'ㅗ', '수']|개고수
58|['미래', '예지', '바', 'ㅇ', '플', 'ㄷㄷ']|미래예지방플 ㄷㄷ
59|['바', 'ㅇ', '플', '이', '에요']|방플이에요
60|['바', 'ㅇ', '플', '에바', 'ㄴ', '데', ';']|방플 에반데;
61|['중국', '플', 'ㅗ', '네', 'ㄹㅇ']|중국 프로네 ㄹㅇ
62|['오', '아', '.', '...']|와....
63|['아야', '합', '아야', '합', '사태', '알', '랴', '주', '시', 'ㄹ', '분', '귓좀주세용', 'ㅠ', 'ㅠ']|얍얍사태 알랴주실분 귓좀주세용 ㅠㅠ
64|['서', 'ㄴ', '지', '자']|선 지 자
65|['패치스', '속', 'ㄱ', 'ㅗ', 'ㅇ', '이', '라도', '달', '아', '주', '어', '~', '~', '~', '~', '~']|패치스 속공이라도 달아줘~~~~~
66|['이것', '지']|이거지
67|['ㄱ', 'ㅗ', '수', ';']|고수;
68|['키', 'ㅇ', '스', '짱', '칸']|킹 스 짱 칸
69|['플', 'ㅗ', '네']|프로네
70|['음', '성', '이', 'ㄴ', '식']|음 성 인 식
71|['바', 'ㅇ', '플', '이', '네']|방플이네
72|['알', 'ㄴ', '부사', 'ㅇㅈ', '한', '다']|안부사 ㅇㅈ한다
73|['동전', '쓰', '어야', '되', 'ㄹ', '듯']|동전써야될듯
74|['아까', '그것', '클립', '따', '앗', '다', '개', '꿀']|아까 그거 클립땃다 개꿀
75|['바', 'ㅇ', '플', 'ㅡㅡ']|방플 ㅡㅡ
76|['도적', '데', 'ㄱ', '몇', '승', '몇', '패', '?']|도적덱 몇승몇패?
77|['루미', 'ㅇ', '님', '오늘', '방송', '안', '하', '나요', '?', '/']|루밍님 오늘 방송안하나요?/
78|['박사', '붐', '망하', '았', '자', '나']|박사붐 망했자나
79|['들키', 'ㅁ', 'ㅎㅎ']|들킴 ㅎㅎ
80|['이건', '차카', 'ㄴ', '요', 'ㄱ', 'ㅇㅈ']|이건 차칸욕 ㅇㅈ
81|['폭', '심', '만', '만', '망', '하', '엇', '으니']|폭심만만 망햇으니
82|['들키', 'ㅁ', '?']|들킴?
83|['그것', '아니', '면', '안', '팔리', 'ㅁ']|그거 아니면 안팔림
84|['원래', '주기', '적', '으로', '원', '작', '도', '나오', 'ㅁ']|원래 주기적으로 원작도 나옴
85|['폭', '심', '만', '만', '개', '치', '어', '망하', '앗', '자', '너']|폭심만만 개쳐망햇자너
86|['모르', 'ㄴ', '척', '해', '주자']|모른척 해주자
87|['후크터스크가', '와우', '캐리', 'ㄱ', '이', '냐', '?', '찐따', '야', '?']|후크터스크가 와우 캐릭이냐? 찐따야?
88|['마', '이', '라', '왕', '파', '보이', '어', '주', '시', '어요']|마이라 왕파 보여 주세요
89|['키', 'ㅇ', '갓', '데', 'ㄱ', '이다', '이', '말', '이야']|킹갓덱이다 이말이야
90|['모르', 'ㄴ', '척']|모른척
91|['오', '아', '차', 'ㅇ', '이', '또', '..']|와창이 또..
92|['루미', 'ㅇ', '님', '오늘', '휴', '방', '이', '라면', 'ㅇㅅㅇ', '좀']|루밍님 오늘 휴방이라면 ㅇㅅㅇ좀
93|['지금', '까지', '한데', 'ㄱ', '중', '에', '뭐', '가', '제일', '쎄', 'ㅁ', '?', '?', '?']|지금까지 한덱중에 뭐가 제일 쎔???
94|['그것', 'ㄹㅇㅋㅋㅋ']|그거 ㄹㅇㅋㅋㅋ
95|['팩트', ')', '이미', '1년', '전', '에', '디자인', '다', '하', '았', '다']|팩트) 이미 1년전에 디자인 다했다
96|['이', '데', 'ㄱ', '에', '착취', '독', '은', '좀', '에바', '임', '?']|이 덱에 착취독은 좀 에바임?
97|['ㄱ', 'ㅗ', 'ㅇ', '쿠']|공쿠
98|['이것', '랑', '아까', '그', '드루', '랑', '뭐', '가', '더', '쎄', 'ㅁ', '?']|이거랑 아까 그 드루랑 뭐가 더 쎔?
99|['이', '데', 'ㄱ', '재밌', '다']|이덱 재밌다
100|['마', '이', '랄', 'ㅗ', '왕', '파', '를', '태우', '는', '스트리머가있다?']|마이라로 왕파를 태우는 스트리머가있다?
101|['워크', '타령', '하', 'ㅁ', '=', '찐따']|워크 타령 함 = 찐따
102|['ㄱ', 'ㅗ', 'ㅇ', '크']|공크
103|['근데', '약탈', '너프', '되', 'ㄹ', '것', '같', '음', '?']|근데 약탈 너프 될것같음?
104|['궁금', '하', 'ㄴ', '게', '있', '는데요', '마', '이', '라', '쓰', 'ㄹ', '일', '별로', '없', '는', '거', '같', '은데', '다른', '거', '넣', '는', '거', 'ㄴ', '어떻', 'ㄴ가요', '?']|궁금한게 있는데요 마이라 쓸일 별로 없는거 같은데 다른거 넣는건 어떤가요?
105|['ㄱ', 'ㅗ', 'ㅇ', '크']|공 크
106|['ㄱ', 'ㅗ', 'ㅇ', '크', '아', '님', '?']|공크아님?
107|['망하', '았', '다']|망했다
108|['뭐', '이', '어', '아야', '합', '야', 'ㅂ사', '걸', 'ㄴ', '별것', '도', '아닌데', '트', 'ㄹ', '수', '들', '이', 'ㅈ랄한거', '아니', 'ㅁ', '?']|뭐여 얍얍사건 별것도 아닌데 트수들이 ㅈ랄한거 아님?
109|['두어', 'ㄱ', '인감']|두억인감
110|['줄진', '은', '성능', '어떻', 'ㅁ', '?']|줄진은 성능 어떰?
111|['ㄱ', 'ㅗ', 'ㅇ', '크', '요']|공크요
112|['줄진', '이', '좋', '기', 'ㄴ', '하', '아']|줄진이 좋긴해
113|['저것', '해적', '아니', '네']|저거 해적아니네
114|['신격', '은', '제일', '재밌', '는', '데', 'ㄱ']|신격은 제일 재밌는덱
115|['노루', '홀', '전', '못', '이', '기', '는', '신격', '데', 'ㄱ', 'ㅠ', 'ㅠ']|노루 홀전 못이기는 신격덱 ㅠㅠ
116|['아', '1', '디', 'ㄹ', '손해', 'ㅡㅡ']|아 1딜손해 ㅡㅡ
117|['화', '살', 'ㄴ']|화 산
118|['2', '번', '넣', '고', '50', '댐', '정도', '쏘', '면', '잡', '을', '만', '하', 'ㄴ가', '?']|2번넣고 50댐정도 쏘면 잡을만한가?
