|morphs|origin
0|['빨리', '내리', '었', '어']|빨리내렸어
1|['역대', '스파이더맨', '중', '최', 'ㄱ', 'ㅗ', '작', '이', 'ㅂ니다']|역대 스파이더맨중 최고작입니다
2|['그래서', '어제', '후다닥', '보', '앗', '는데', 'ㅋㅋ']|그래서 어제 후다닥 봣는데 ㅋㅋ
3|['개', '꿀잼', '이', 'ㄴ데']|개꿀잼인데
4|['평', '은', '좋', '은데', '사람', '들', '이', '알', 'ㄴ', '봄']|평은 좋은데 사람들이 안봄
5|['ㄹㅇ', '영화', '관용', '영화', 'ㄴ', '데', '관이', '너무', '작', '음', 'ㅠ', 'ㅠ']|ㄹㅇ 영화관용 영환데 관이 너무 작음ㅠㅠ
6|['누구', '가', '노잼', '이래']|누가 노잼이래
7|['재밌', '었', '는데', '벌써', '내리', '어', '?']|재밌었는데 벌써 내려?
8|['그것', 'ㄹㅇ', '개', '꿀잼', '이야']|그거 ㄹㅇ 개꿀잼이야
9|['아쿠아맨', '때문', '에', '오래', '알', 'ㄴ', '걸리', 'ㄱ', 'ㅗ', '내려가', 'ㅁ']|아쿠아맨 때문에 오래 안걸리고 내려감
10|['개봉', '한지', '좀', '되', '었', '나', '보', '네']|개봉한지 좀 됐나보네
11|['비료', 'ㅇㅋ', 'ㅋㅋ', 'ㅋㅋ']|비룡ㅋㅋㅋㅋㅋ
12|['비료', 'ㅇㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|비룡ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13|['가', 'ㅂ시다']|갑시다
14|['배', '시', 'ㄴ', '자']|배 신 자
15|['ㄹㅇ', '개', '꿀잼', '이', 'ㄴ데']|ㄹㅇ 개꿀잼인데
16|['ㅇ', 'ㅗ', '옷', '!']|오옷!
17|['크리', '스마', '에', '왜', 'ㄴ', '비룡', '.', '.']|크리스마에 왠 비룡..
18|['ㄱ', 'ㅗ', 'ㄱ', 'ㅗ']|고고
