|morphs|origin
0|['집', '에', '오', '았', '음', '로', '아', '켜', '아야지']|집에왔음 로아켜야지
1|['절', '대', '방', '소', 'ㅇ', '켜', '어']|절 대 방 송 켜
2|['야', '밥', '님', '방송', '하', '기', '세', '요']|야밥님 방송키세요
3|['진실', '이', 'ㅂ니까']|진실입니까
4|['집', '가', '았', '다며']|집갔다며
5|['로', '아', '언제', '하', 'ㅁ']|로아 언제함
6|['트', '파', '아', '언젠가', '요', '?', '?']|트파 언젠가요??
7|['내일', '보', 'ㅂ시다', '다', '들']|내일 봅시다 다들
8|['ㅇ', 'ㅗ', '뱅어', 'ㅄ', '?']|오뱅없?
9|['ㅇ', 'ㅗ', '방어', 'ㅄ', '?']|오방없?
10|['ㅇ', 'ㅗ', '배', 'ㅇ', '잇', '?']|오뱅잇?
11|['오늘', '휴', '방', '하', 'ㅂ니까']|오늘 휴방합니까
12|['아야', '하', '아야', '합', '님', '채팅', '차', 'ㅇ', '에', '계시지않읍니까']|야얍님 채팅창에 계시지않읍니까
13|['오늘', '하', '기', '이', '면', '빛', '성태', '이', 'ㄴ데']|오늘키면 빛성태인데
14|['일단', '차', 'ㄱ', '서', 'ㄱ', '합니다']|일단 착석합니다
15|['오늘', '하', 'ㄴ다고', '하', '았', '음', '?']|오늘 한다고했음?
16|['어제', '가', '휴', '방', '이', '고', '오늘', '이', '놀', '토', '이', 'ㅁ', '?']|어제가 휴방이고 오늘이 놀토임?
17|['믿', '고', '기다리', 'ㅂ시다']|믿고 기다립시다
18|['ㅇ', 'ㅗ', '배', 'ㅇ', '함', '?']|오뱅함?
19|['ㅇ', 'ㅗ', '뱅어', 'ㅄ', '?', ';']|오뱅없?;
20|['아야', '합하']|얍하
21|['성태', '형', '그곳', '에서', 'ㄴ', '행복', '하', '아', '?']|성태형 그곳에선 행복해?
22|['오늘', '쉬', '는', '날', '이', 'ㄴ가']|오늘 쉬는날인가
23|['아야', '합', '마이', '무', '~', '~', '~']|얍마이무~~~
24|['ㅇ', 'ㅗ', '뱅어', 'ㅄ']|오뱅없
25|['집', '에', '일찍', '가', '아서', '템렙올리신겁니까', '빼', '어', '애', 'ㅇ']|집에 일찍가서 템렙올리신겁니까 빼앵
