|morphs|origin
0|['ㅇ', 'ㅗ', '어그로', '다', '뺏', '네']|오 어그로 다 뺏네
1|['구', 'ㅇ', '타이미', '이', 'ㅇ', '래', '변이', '타이밍']|궁타이미잉래 변이타이밍
2|['ㅇ', 'ㅗ']|오
3|['애초', '에', '사람', '모이', '는', '겜에서', '입', '에', '걸레', '문', '놈', '이', '으', 'ㅄ', '을', '리가', '.', '.']|애초에 사람모이는 겜에서 입에 걸레문놈이 읎을리가..
4|['오', '아']|와
5|['길', 'ㄴ', 'ㅠ', '!!']|기뉴!!
6|['야무지', 'ㄴ', '전환', '-']|야무진 전환-
7|['침', '기', 'ㄴ', 'ㅠ', 'ㄷㄷ']|침기뉴 ㄷㄷ
8|['침', 'ㄴ', 'ㅠ', 'ㄷㄷㄷ']|침뉴 ㄷㄷㄷ
9|['야무지', 'ㄴ', '전환']|야무진 전환
10|['도', '타', '는', '한국인', '만나', '아요', '?']|도타는 한국인 만나요?
11|['어이', '길', 'ㄴ', 'ㅠ', '!!', '믿', '고', '있', '었', '다고', '!', '!!']|어이 기뉴!! 믿고 있었다고!!!
12|['야무지', '다', '야', '무', '지', '어']|야무지다 야무져
13|['야무지', 'ㄴ', '전화', 'ㄴ', 'ㅎㄷㄷ']|야무진전환 ㅎㄷㄷ
14|['길', 'ㄴ', 'ㅠ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|기뉴 ㅋㅋㅋㅋㅋㅋ
15|['야무지', 'ㄴ', '체인지']|야무진 체인지
16|['200', '시간', '하', '는', '동안', '한국인', '한', '번', '도', '못', '보', '았', '는데']|200시간 하는동안 한국인 한번도 못봤는데
17|['야무지', '게', '전환', '하', '아야지']|야무지게전환해야지
18|['밟', '아', '조', 'ㄴ']|밟아 존
19|['산아', 'ㄴ', '거인']|산안거인
20|['이거', 'ㄹ', '캐', 'ㄹ', '타스', '가', '왕', '귀', '하', '아', '버리', '었', '다고', '?']|이걸 캘타스가 왕귀해버렸다고?
21|['저곳', '은', '밟', '아', '조', 'ㄴ', 'ㅋㅋ']|저곳은 밟아 존 ㅋㅋ
22|['눈멀', 'ㄴ', '캠핑']|눈먼 캠핑
23|['눈멀', 'ㄴ', 'ㅋㅋ']|눈먼 ㅋㅋ
24|['섀도우', '박', '시', 'ㅇ']|섀도우 박싱
25|['무적', '권', '밟', '아', '조', 'ㄴ']|무적권 밟아 존
26|['저', '캐', 'ㄹ', '타스', '대류', '이', '었', '나요']|저 캘타스 대류였나요
27|['어', '여기', '밟', '아', '좌', '가', '나오', 'ㄴ', '곳', '이', '네']|어 여기 밟아 좌가 나온곳이네
28|['갑자기', '왕', '귀', '각', '이', 'ㄴ가', '?']|갑자기 왕귀각인가?
29|['야무지', 'ㄴ', '공격', '하', '기']|야무진 공격하기
30|['야무지', '게', '공격', '하', '아야지']|야무지게 공격해야지
31|['뽈', 'ㅗ', 'ㅇ', '뽈', 'ㅗ', 'ㅇ']|뽀롱뽀롱
32|['침착맨', '님', '스페이스', '바', '뽑', '으시', '었', '나요', '?']|침착맨님 스페이스바 뽑으셨나요?
33|['또', '로', 'ㅇ', '또', '로', 'ㅇ']|또롱또롱
34|['꼴', 'ㅗ', 'ㅇ', '꼴', 'ㅗ', 'ㅇ']|꼬롱꼬롱
35|['코르', '크', 'ㄹ', 'ㅗ', 'ㄴ']|코르 크론
