time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-11 00:00:03,1,5,0,0,0,0,0,0
2018-12-11 00:00:04,1,0,0,0,0,0,0,0
2018-12-11 00:00:06,1,0,0,0,0,0,0,0
2018-12-11 00:00:07,1,3,0,0,0,0,0,0
2018-12-11 00:00:08,1,0,0,0,0,0,0,0
2018-12-11 00:00:09,1,0,0,0,0,0,0,0
2018-12-11 00:00:11,1,0,0,0,0,0,0,0
2018-12-11 00:00:12,2,0,0,0,0,0,0,0
2018-12-11 00:00:13,1,0,0,0,0,0,0,0
2018-12-11 00:00:14,1,0,0,0,0,0,0,0
2018-12-11 00:00:15,1,0,0,0,0,0,0,0
2018-12-11 00:00:18,1,0,0,0,0,0,0,0
2018-12-11 00:00:19,1,0,0,0,0,0,0,0
2018-12-11 00:00:21,2,8,0,1,0,0,0,0
2018-12-11 00:00:22,1,6,0,0,0,0,0,0
2018-12-11 00:00:24,1,0,0,0,0,0,0,0
2018-12-11 00:00:26,1,0,0,2,0,0,0,0
2018-12-11 00:00:27,2,4,0,0,0,0,0,0
2018-12-11 00:00:29,2,0,0,0,0,0,0,0
2018-12-11 00:00:30,1,0,0,0,0,0,0,0
2018-12-11 00:00:31,2,5,0,0,0,0,0,0
2018-12-11 00:00:32,1,5,0,0,0,0,0,0
2018-12-11 00:00:33,1,0,0,2,0,0,0,0
2018-12-11 00:00:34,2,0,0,0,0,0,0,0
2018-12-11 00:00:36,2,0,0,0,0,0,0,0
2018-12-11 00:00:37,1,0,0,0,0,0,0,0
2018-12-11 00:00:38,2,4,0,0,0,0,0,0
2018-12-11 00:00:40,1,0,0,0,0,0,0,0
2018-12-11 00:00:42,2,0,0,0,0,0,0,0
2018-12-11 00:00:43,1,0,0,0,0,0,0,0
2018-12-11 00:00:45,1,0,0,0,0,0,0,0
2018-12-11 00:00:46,2,4,0,0,0,0,0,0
2018-12-11 00:00:47,1,0,0,0,0,0,0,0
