|morphs|origin
0|['취하', '았', '어요', '?', '?', '?']|취했어요???
1|['똥', '싸', '러', '가', 'ㅁ', '?']|똥싸러감?
2|['토하', '러', '가', '았', '냐', '?', '?']|토하러갔냐??
3|['끠유', '승', '딸', '언니', '한테', '카토', 'ㄱ', '보내', '러', '가', '아', '따', '아']|끠유 승딸언니한테 카톡보내러가따
4|['왤케', '안', '오', 'ㄹ', '까']|왤케 안올까
5|['피', 'ㅇ', 'ㅠ', '지금', '승', '달', '이', '한테', '계솓연락중']|피유 지금 승달이한테 계솓연락중
6|['화장실', '가시', '엇', '어요']|화장실 가셧어요
7|['벌써', '3', '년', '째', '트', 'ㄹ', '수라', 'ㅇ', '크리스마스', '를', '보내', '는', '끠유...']|벌써 3년째 트수랑 크리스마스를 보내는 끠유...
8|['다', '흘리', 'ㄴ', '거지', '뭐']|다 흘린거지 뭐
9|['끠유님', '승', '딸', '님', '한테', '무슨', '카토', 'ㄱ', '보내', '시', 'ㅁ']|끠유님 승딸님한테 무슨카톡 보내심
10|['아야', '합', '아야', '합', '왔다', 'ㅂㅂ', '2']|얍얍왔다 ㅂㅂ2
11|['아까', '복', '분자', '엎', '었', '잖아요', '기억', '안', '나', '시', '어요', '?']|아까 복분자 엎었잖아요 기억 안나세요?
12|['취하', '았', '음', '?']|취했음?
13|['아까', '엎', '을', '때', '품', '으로', '떨어지', '어', '가지', '고']|아까 엎을때 품으로 떨어져가지고
14|['크리스마스', '잘', '보내', '었', '어요', '끠유님?', '더', '이상', '버티', '기', '가', '힘들', '네요', '먼저', '들어가', '아', '보', '겠', '습니다', '끠바']|크리스마스 잘 보냈어요 끠유님? 더이상 버티기가 힘드네요 먼저 들어가보겠습니다 끠바
15|['2', '~', '3', '시', '에', '승', '딸', '이', '보', '러', '가', 'ㄴ다고', '?']|2~3시에 승딸이 보러 간다고?
16|['첨', '보', '는데', '피', 'ㅇ', 'ㅠ', '님', '넘', '이쁘', '요', '...']|첨보는데 피유님 넘이쁘요...
17|['끝나', '아', '버리', '었', '어', 'ㅠ', 'ㅠ', 'ㅠ']|끝나버렸어ㅠㅠㅠ
18|['적페', '미국', '명절', '끝나', '았', '다', 'ㅠ', 'ㅠ']|적페 미국명절 끝났다 ㅠㅠ
19|['수고', '하', '았', '어요']|수고했어요
20|['그만', '매', '시', '어요']|그만매셔요
21|['마시', '지', '말', '아요']|마시지 마요
22|['그만', '먹', '으시', '시', '어요', 'ㅎㅎ', '괘', 'ㄴ', '차', '않']|그만먹으세요 ㅎㅎ 괜찮
23|['절제', '하', 'ㅂ시다']|절제합시다
24|['그만', '마시', '어', '요', 'ㅋㅋ']|그만 마셔요ㅋㅋ
25|['그만', '마시', '어요']|그만마셔요
26|['이미', '취하', '시', 'ㅁ', '살짝']|이미취하심 살짝
27|['네', 'ㅇ', '더', '마시', '면', '취하', '시', 'ㄹ', '듯']|넹 더마시면 취하실듯
28|['쪼', '꼬', 'ㅁ', '깨', 'ㄴ', '거', '같', '은데']|쪼꼼 깬거 같은데
29|['얼굴', '빨개지', '는', '거', 'ㄴ', '해결', '법', '없', '는데']|얼굴 빨개지는건 해결법 없는데
30|['안', '들', '시', '면', '되', 'ㅁ']|안드시면됨
31|['어쩔', '수', '어', 'ㅄ', '는', '데', 'ㅁ', '.', '.']|어쩔 수 없는뎀..
32|['그것', '짜증', '남', 'ㅜㅜ']|그거 짜증남 ㅜㅜ
33|['체질', '이', 'ㅁ']|체질임
34|['먹', '으면', '안되', 'ㅁ']|먹으면안됨
35|['타고나', 'ㄴ', '거', '이', 'ㅁ']|타고난거임
36|['저것', '스트레스', '많이', '받', '겠', '다', 'ㅠ', 'ㅠ']|저거 스트레스 많이받겠다 ㅠㅠ
37|['새해', '지나', 'ㄱ', 'ㅗ', '그때', '먹자']|새해지나고 그때 먹자
38|['그것', 'ㄴ', '체질', '이', '라', '.', '.']|그건 체질이라..
39|['뺨', '때리', '시', 'ㅂ쇼']|뺨때리십쇼
40|['좋', '은', '거', '아니', 'ㅁ', '?']|좋은거 아님?
41|['안', '마시', '어야', '하', '아요']|안마셔야해요
42|['들', '시', '면', '안', '되', '이', '어']|드시면안되여
43|['해결', '법', '은', '안', '마시', '어야지']|해결법은 안마셔야지
44|['술', '먹', '기전', '에', '해자', 'ㅇ', '음료', '겁나', '아', '먹', '으면', '좀', '낫', '기', 'ㄴ', '해', '이', '어']|술먹기전에 해장음료 겁나 먹으면 좀 낫긴해여
45|['자주', '마시', '다', '보', '면', '안', '그렇', '게', '되', 'ㅁ']|자주 마시다보면 안 그렇게 됨
46|['전', '반대', '로', '하', '얘', '지', '어서', '스트레스', 'ㄴ', '데']|전 반대로 하얘져서 스트레슨데
47|['취하', 'ㅁ', '?', '?']|취함??
48|['하', '하', '아', '지', '어']|하해져
49|['이렇', '어서', '술집', '조명', '이', '중요', '하', 'ㅁ']|이래서 술집조명이 중요함
50|['나', '도', '그런데', '술취', '하', '았', '는데', '똑같', '음']|나도 그런데 술취했는데 똑같음
51|['생맥주', '빼', '고', '는', '냄새', '때문', '에', '먹', '기', '도전', '에', '빨', '게', '지', 'ㅁ']|생맥주 빼고는 냄새때문에 먹기도전에 빨게짐
52|['아무리', '취하', '아도', '똑같', '아서', '아무도', '취하', 'ㄴ지', '모르', '던데']|아무리 취해도 똑같아서 아무도 취한지 모르던데
53|['뺨땨리고', '멀쩡', '하', 'ㄴ', '척', '하', '시', '어요']|뺨땨리고 멀쩡한척하세요
54|['그것', '샘플링', 'ㄱ', 'ㅗ', 'ㄱ', '이', '에요']|그거 샘플링 곡이에요
55|['아', '그렇', '네']|아 그러네
56|['기타', '만', '비슷', '하', 'ㄴ', '듯']|기타만 비슷한듯
57|['유명', '하', 'ㄴ']|유명한
58|['쥬', '시', '월드', '라고', '요즘', '라이', '지', 'ㅇ', '스타', '임']|쥬시월드라고 요즘 라이징스타임
