|morphs|origin
0|['피', 'ㅇ', 'ㅠ', '오', '기', '10분', '전', '!!']|피유 오기 10분전!!
1|['피', 'ㅇ', 'ㅠ', '오', '기', '5부', 'ㄴ', '전', '!!']|피유 오기 5분 전!!
2|['피', 'ㅇ', 'ㅠ', '오기', '1', '분', '전', '!!']|피유오기 1분전!!
3|['오늘', '안', '에', '는', '오', 'ㅂ니다']|오늘안에는 옵니다
4|['흑', '흑', '아지', 'ㄱㄷ', 'ㅗ', '안', '오', '시', '었', '다니', '...']|흑흑 아직도 안오셨다니...
5|['피', 'ㅇ', 'ㅠ', '님', 'ㅇ', 'ㅗ', '실', '때', '까지', '숨', '참', '습니다']|피유님 오실때까지 숨참습니다
6|['그리고', '사망', '하', '았', '다고', '하', 'ㄴ다']|그리고 사망하였다고 한다
7|['언제', '와', '이', '어', '.', '.']|언제와여..
8|['보일러', '고장', '이', '라', '30', '분', '에', '경비실', '에서', '점검', '하', 'ㄴ다구']|보일러 고장이라 30분에 경비실에서 점검한다구
9|['그것', '끝나', '고', '오', 'ㄴ다고']|그거 끝나고 온다고
10|['트', '게', '더', '댓글', '에', '적히', '어', '있', '음']|트게더 댓글에 적혀있음
11|['조지', '엇', '다', '보일러', '고장']|조졋다 보일러 고장
12|['ㅇ', 'ㅗ', '이', 'ㅇ']|오잉
13|['이', '시간', '에', '기사', '님', '도', '알', 'ㄴ', '올텐', '데']|이 시간에 기사님도 안올텐데
14|['나', '도', '보일러', '안', '되', '어서', '발', '시렵', '기', 'ㄴ', '하', 'ㄴ데']|나도 보일러 안돼서 발시렵긴 한데
15|['패', '딩', '입', '이', '어서', '괘', 'ㄴ', '추', 'ㄴ']|패딩입어서 괜춘
16|['ㅇ', 'ㅗ']|오
17|['갓', '치마', 'ㄴ', '..', '황', '치마', 'ㄴ', '..', '빛', '하', '지만', '..']|갓치만..황치만..빛치만..
18|['오늘', '롤', '하나', 'ㅇ', 'ㅠ', '?']|오늘 롤 하나유?
19|['ㅇ', 'ㅗ', '이', 'ㅇ', '?']|오잉?
20|['누', '아아', '아아', '아웅', 'ㅗ', '아아', '아']|누아아아아아우오아아아
21|['작', '게도', '한', '번', '보', '아야', '하', '지', '않', '을지']|작게도 한번 봐야하지않을지
22|['키', 'ㅇ', '치', '만']|킹 치 만
23|['빼애앰', '로', '아', '하', '았', '으면', '실망', '하', '았', '다', '이', '말', '이여']|빼애앰 로아 했으면 실망했다 이말이여
24|['나', 'ㄴ', '로', '아', '넘', '모', '힘들', '어서', '접', '는', '사람', '많', '을', '듯']|난 로아 넘모 힘들어서 접는 사람 많을듯
25|['알', 'ㄹ', '피지', '는', '좀', '단물', '금방', '빠지', '는', '거', '가', '틈']|알피지는 좀 단물 금방 빠지는거 가틈
26|['알', 'ㄹ', '피지', '는', '오래', '하', '기', '가', '참', '힘들', 'ㅁ']|알피지는 오래하기가 참 힘듬
27|['가', '롤', 'ㅗ', '길', '어서', '그런', '거', '예요', '?']|가로로 길어서 그런거예요?
28|['텝렙', '많이', '올리', '면', '단물', '빠', '지지', 'ㅇ']|텝렙 많이 올리면 단물빠지징
29|['나', 'ㄴ', '낮', '아서', '계속', '할거']|난 낮아서 계속할거
30|['템렙', '막히', 'ㄴ', '것', '도', '아니', '시', 'ㄴ데', '왜', '그러', '지']|템렙 막힌것도 아니신데 왜그러지
31|['배고프', '다고', '하', '아']|배고프다아
32|['배', '극기']|배그ㄱㄱㅣ
33|['키', 'ㅇ', '버', '워치', '이', '라니']|킹버워치라니
34|['ㅇ', 'ㅗ', '알']|오알
35|['옵', '치', '하', '시', '면', '멘탈', '털리', '시', 'ㄹ텐데']|옵치하시면 멘탈 털리실텐데
36|['피', 'ㅇ', 'ㅠ', '없', '다']|피유없다
37|['나라', 'ㅇ', '은', '안', '하', '잖아', '이', '어']|나랑은 안하잖아여
38|['트', 'ㄹ', '수색', '이', '기', '덜']|트수색기덜
