|morphs|origin
0|['지키', '어', '주', '시', '어요', ':', '★', '비속어', '사용', 'X', ',', '시청자', '간', '닉', '언', 'X', ',', '시청자', '의', '방송', '중재', ',', '타스', '트리', '머', '비하', ',', '타', '방송', '중계', 'X', ',', '외모', '이야기', 'X', ',', '게임', '관련', '없', '는', '이야기', 'X', ',', '병먹금', '필수', '!', ',', '방송', '내', '의', '클립', '이나', '사진', '은', '트', '게', '더', '이외', '에', '올리', '지', '마', '세', '요', '(', '필수', ')', '★']|지켜주세요 : ★ 비속어 사용 X, 시청자간 닉언 X, 시청자의 방송 중재, 타스트리머 비하, 타방송 중계 X, 외모 이야기 X, 게임 관련 없는 이야기 X, 병먹금 필수!, 방송 내의 클립이나 사진은 트게더 이외에 올리지 마세요(필수) ★
1|['밖', '춥', '어', '용']|밖 추워용
2|['에이', '따', 'ㄱ', '코네']|에이 딱코네
3|['ㅇ', 'ㅗ', '이', 'ㅇ', 'ㅊㅎㅊㅎ']|오잉 ㅊㅎㅊㅎ
4|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ']|오오
5|['하하']|ㅎㅏㅎㅏ
6|['칼', '같', '다', '이', 'ㅇ']|칼 같다잉
7|['다', '영이', '와서', '신', '나', '았', '네']|다영이와서 신났네
8|['이거', 'ㄹ', '살', '네']|이걸 사네
9|['뭐', 'ㄴ가', '하', '았', '네']|뭔가 했네
10|['노리', '었', '네']|노렸네
11|['미리', '말', '하', '았', '는데']|미리 말했는데
12|['공포', '게임', '찬스', '이', '었', '는데']|공포게임 찬스였는데
13|['또', '리스', '이', 'ㄴ', '더 레인']|또리스 인더 레인
14|['오', '아', '이거', 'ㄹ', '안', '늦', '네']|와 이걸 안늦네
15|['초승달', 'is', 'now', 'live', '!', 'Streaming', 'Just', 'Chatting', ':', '\uf319', '다', '영이', '왔다', '용']|초승달 is now live! Streaming Just Chatting: 🌙 다영이왔다용
16|['수', 'ㄴ', '달짜', '응', '카와이', '데', '쓰', 'ㅋㅋ']|순달짜응 카와이데쓰 ㅋㅋ
17|['ㄴㄷㅆ', '걷', '은', '다']|ㄴㄷㅆ 걸은다
18|['머', '지', 'ㅇ']|머징
19|['ㅇ', 'ㅗ', '어렵', 'ㅗ', '이', '어']|오 어려보여
20|['머', '이', '라는', '거', '야', '오', '자마자']|머라는거야 오자마자
21|['이', 'ㅇ']|잉
22|['알', 'ㄴ', '작', '음']|안작음
23|['크', '어요']|커요
24|['네', '크', '어요']|네 커요
25|['네', 'ㅇ', '크', '어요']|넹 커요
26|['오늘', '은', '알', 'ㄴ', '작', '아', '요']|오늘은 안작아요
27|['29', '구', 'ㄴ', '필', '여고생', 'ㄷ']|29 군필 여고생 ㄷ
28|['네', '잘', '들리', 'ㅁ']|네 잘들림
29|['초', '하', '오늘', '중', '딩', '되', '어', '시', '엇', '네']|초하 오늘 중딩돼셧네
30|['브금', '좀', '알리', '어', '주', '어', '용']|브금좀 알려줘용
31|['키', 'ㅇ', '소리', '출연']|킹소리 출연
32|['신나', '시', '었', '어', 'ㅋㅋㅋ']|신나셨어 ㅋㅋㅋ
33|['가', '면', '쓰', '고', 'ㅇ', 'ㅗ', '시나', '요']|가면쓰고 오시나요
34|['ㅋㅋㅋ', '5', '개월', '이', 'ㄴ데', '?']|ㅋㅋㅋ 5개월인데?
35|['또', '영', '이랑', '뭐', '어', '들', '시', '었', '어', '이', '어']|또영이랑 뭐드셨어여
36|['맞짱', '뜨', '시', 'ㄴ', '적', '있', '나요', '?']|맞짱뜨신적 있나요?
37|['재', 'ㅁ', '영', '님', '.', '.']|잼영님..
38|['주', '다', '님', '이', 'ㄴ', '줄']|주다님인줄
39|['친구', '들', '이', '모르', '는', '척', '해주', '는', '걸', '냐고', '물어보', '아요']|친구들이 모르는척해주는거냐고 물어봐요
40|['다', '알', 'ㄹ텐데', 'ㅋㅋㅋ']|다 알텐데 ㅋㅋㅋ
41|['둘', '이', '싸우', '며', 'ㄴ', '누가', '이', '김', '?']|둘이 싸우면누가이김?
42|['네', 'ㅇ']|넹
43|['아무도', '안', '그러', '었', '는데']|아무도 안그랬는데
