|morphs|origin
0|['따', '아']|따
1|['ㅇ', 'ㅗ', '방', '있', '/']|오방있/
2|['차', 'ㄱ', '서', 'ㄱ']|착석
3|['차', 'ㄱ', '석', '2']|착석2
4|['조', 'ㄴ', '버', '.', '.']|존버..
5|['차', '그', 'ㅡㅡ', '서', 'ㄱ']|착ㅡㅡㅡ석
6|['차', '그', 'ㅡㅡ', 'ㅡㅡ', '서', 'ㄱ']|착ㅡㅡㅡㅡㅡ석
7|['차', 'ㄱ', '석', '와', 'ㄴ', '료']|착 석 완 료
8|['왜', 'ㄹ', '캐', '오랜만', '에', '보', '는', '거', '같', '지']|왤캐 오랜만에 보는거같지
9|['을', '마나', '감내', '하', '아야', '하', '는가']|을마나 감내해야하는가
10|['오부', 'ㄴ', '뒤', '에', '와야', '것', '네', 'ㅇ']|오분뒤에 와야것넹
11|['서울', '시차', '고려', '하', '아야', '하', '냐']|서울시차 고려해야하냐
12|['아직', '작', 'ㅗ', '있', '으려나']|아직 자고 있으려나
13|['게임', '추천', '은', '따', '게', '더', '에', '하', '았', '는데']|게임추천은 따게더에 했는데
14|['보', '았', '으려나']|봤으려나
15|['또', '지각', '하', '았', '따', '아아', '아악']|또지각했따아아아악
16|['곰보겜', '벌칙', '언제', '부활', '합', '이', '니', '가']|곰보겜 벌칙 언제부활합니가
17|['지', 'ㄴ', '구지', '사부로', '는', '내일', '나오', '는', '거', '같', '던데']|진구지사부로는 내일 나오는거같던데
18|['지극히', '따', '효', '이', '니', '스럽', 'ㄴ', '방송', '이구', 'ㄴ', '오늘', '도']|지극히 따효니스러운 방송이군 오늘도
19|['이쯤', '되', '면', '그냥', '따', '효', '이', '니', '타임', '으로', '보아주', '는', '거지', '머']|이쯤되면 그냥 따효니 타임으로 봐주는 거지 머
20|['역시', '지각', '따', '아']|역시 지각따
21|['하', '아', '주', '면', '좋', '겠', '따']|해주면 좋겠따
22|['디트로이트', '같', '은', '스토리겜', '좋', '은', '데', 'ㅇ']|디트로이트같은 스토리겜 좋은뎅
23|['근데', '요즘', '스토리', '게임', '관련', '하', '아서', '말', '이', '많', '아서']|근데 요즘 스토리게임 관련해서 말이 많아서
24|['트위치', '에서', '스트리밍', '막', '는다는', '말', '도', '있', '고', '심상', '하', '지', '않', '음']|트위치에서 스트리밍 막는다는 말도 있고 심상치 않음
25|['그것', '하', 'ㄹ', '라면', '은', '따', '효', '이', '니', '님', '의', '유능', '하', 'ㄴ', '지식', '을', '맘껏', '뽑', '내', 'ㄹ', '수', '있', '는', '게임', '이', '트', '게', '더', '에', '추천', '되', '어', '있', '어요', '라고', '돌', '네', '하', '아야', '되', 'ㅁ']|그거 할라면은 따효니님의 유능한 지식을 맘껏 뽑낼수 있는 게임이 트게더에 추천되어 있어요 라고 도네 해야됨
26|['냥', '캐', 'ㅁ', '시', '작', '인가']|냥캠시작인가
27|['빠', 'ㄱ', '개', 'ㄴ', '바', 'ㅇ', '간다', '-', '>', '지', '각']|빡갠방 간다 -> 지각
28|['ddahyoni', '3432', '좀', '더', '작', 'ㅗ', '싶', '은', '거', 'ㄹ', 'ddahyoniDdaa', 'ddahyoniAaaaaaaaaaa', 'ddahyoniAaaaaaaaaaa', 'ddahyoniAaaaaaac']|ddahyoni3432 좀 더 자고 싶은걸 ddahyoniDdaa ddahyoniAaaaaaaaaaa ddahyoniAaaaaaaaaaa ddahyoniAaaaaaac
29|['14', '개월', '알리', 'ㅁ', '하', '아야', '하', '는데']|14개월 알림해야하는데
30|['가볍', 'ㄴ', '벌칙', '으로', '고전', '게임', '아오오니', '는', '어떻', 'ㄹ', '까']|가벼운 벌칙으로 고전게임 아오오니는 어떨까
31|['조', 'ㄴ', '버', '해', '는데', '언제', '오', '냐']|존버햇는데 언제오냐
32|['빠', 'ㄱ', '지각', 'ㅇ', 'ㅗ', '지', '엇', '다']|빡지각 오졋다
33|['하', '아', '명', '하', '아']|해 명 해
34|['5부', 'ㄴ', '지', '각', 'ddahyoniFire']|5분 지각 ddahyoniFire
35|['오늘', '부터', '빠', 'ㄱ', '방송', '(', '실제로', '한말', ')']|오늘부터 빡방송(실제로 한말)
36|['빠', 'ㄱ', '방송', '(', '없', '다', ')']|빡방송(없다)
37|['5부', 'ㄴ', '쯤', '이야', '뭐', 'ㅎㅎㅎ']|5분쯤이야 뭐 ㅎㅎㅎ
38|['빠', 'ㄱ', '방송', '이', '라는', '게', '시청자', '빠', 'ㄱ', '치', '게', '하', '는', '방송', '아니', 'ㄹ', '까']|빡방송이라는게 시청자 빡치게 하는 방송 아닐까
39|['효', '이', '니', '가', '9', '시', '전', '이', '면', '빠', 'ㄱ', '방송', '(', '?', ')']|효니가 9시 전이면 빡방송(?)
40|['공지', '올리', '고', '바로', '자', '는', '걸', 'ㄴ가']|공지올리고 바로 자는건가
41|['절', '대', '곰', '보', '겜', '하', '아']|절 대 곰 보 겜 해
42|['ㅇ', 'ㅗ', '배', 'ㅇ', '8', '시반']|오뱅8시반
43|['머', '이', '어']|머여
44|['아', '아침', '8', '시', '30', '분이', 'ㄴ', '걸', 'ㄴ가']|아 아침 8시 30분인건가
45|['오전', '8', '시', '30', '분말', '하', '았', '다는', '게', '학계', '정설']|오전 8시30분말했다는게 학계정설
46|['제', '에바', 'ㄹ', '오', '아', '주', '시', '어요', '피자', '다', '식', '어요']|제에발 와주세요 피자 다 식어요
47|['빠', 'ㄱ', '방송', '=', '킹쁜소식']|빡방송 = 킹쁜소식
48|['오전', '8', '시반', '이', '었', '던', '거', '이', 'ㅁ']|오전 8시반이었던거임
49|['여러분', '7', '우주', '기준', '으로', '아직', '8', '시', '28', '분', '이', 'ㅂ니다']|여러분 7우주 기준으로 아직 8시 28분입니다
50|['오', '아', '!', '7', '우주']|와! 7우주
51|['땅', 'ㅠ', 'ㄱㄱ', 'ㅗ', 'ㅇ']|따육공
52|['키', 'ㅇ', '속', '을', '갓', '키', '자']|킹속을 갓키자
53|['전', '이미', '다', '먹', '어', '가', 'ㅁ']|전 이미 다 먹어감
54|['7', '우주', '시차', '에바', 'ㄴ', '데']|7우주 시차 에반데
55|['ㅇ', 'ㅗ', 'ㄴ', '제', 'ㅇ', 'ㅗ', '냐']|온제오냐
56|['로', '아', '아지', 'ㄱㄷ', 'ㅗ', '접속', '하', '면', '대기', '하', '고', '그렇', '어야', '되', '요', '?']|로아 아직도 접속하면 대기하고 그래야되요?
57|['아직', '이', '네', '오부', 'ㄴ', '뒤', '에', '다시', '오', '아야지']|아직이네 오분뒤에 다시 와야지
58|['요즘', '에', 'ㄴ', '바로', '들어가', 'ㅁ']|요즘엔 바로 들어감
59|['치킨', '식', '는다', '빨리와', '이', '라']|치킨 식는다 빨리와라
60|['올', '방학', '때', '해보', 'ㄹ', '까']|올 방학때 해볼까
61|['지', '각', '하', '아', '명', '하', '아']|지각 해 명 해
62|['올', '만', '에', '대기', '탑', 'ㅗ', 'ㄴ', '다', 'ddahyoniDdaa', 'ddahyoniAaaaaaaaaaa', 'ddahyoniAaaaaaaaaaa', 'ddahyoniAaaaaaaaaaa', 'ddahyoniAaaaaaac']|올만에 대기타본다 ddahyoniDdaa ddahyoniAaaaaaaaaaa ddahyoniAaaaaaaaaaa ddahyoniAaaaaaaaaaa ddahyoniAaaaaaac
63|['이번', '달', '에', 'ㄴ', 'ㄲ', 'ㅗ', 'ㄱ', '퇴사', '하', '아야', '지', 'ㅇ']|이번달엔 꼭 퇴사해야징
64|['오늘', '바', 'ㅇ', '송어', 'ㅄ', '?']|오늘 방송없?
