|morphs|origin
0|['이것', '켠', '와', 'ㅇ', '하면', '잠', '못', '잠']|이거 켠왕하면 잠못잠
1|['미리', '하', '아야', '되', 'ㅁ']|미리 해야됨
2|['매달리', '시', '어요']|매달리세요
3|['그', '발언', '하', '자마자', '나', 'ㄱ', '사']|그 발언 하자마자 낙사
4|['금', '...', '바', 'ㅇ']|금...방
5|['이거', 'ㄹ', '켠', '왕한', '다구요', '?']|이걸 켠왕한다구요?
6|['저', '두', '저것', '앤디', 'ㅇ', '못', '보', '았', '어요', '.', '개', '어려움', ',', '켠', '와', 'ㅇ', '하면', '하루', '이상', '보장']|저두 저거 앤딩 못봤어요. 개어려움, 켠왕하면 하루이상 보장
7|['대각선', '으로', '날리', '는', '거', '이', '니까']|대각선으로 날리는거니까
8|['양', 'ㅗ', 'ㅇ']|야옹
9|['켠', '와', 'ㅇ', '하면', '리듬', '세상', '꼴', '나', 'ㄴ', '다']|켠왕하면 리듬세상꼴난다
10|['안', '되', '는', '것', '이', '아니', '라', '못하', '는', '거', 'ㅂ니다', '.', '.']|안되는것이 아니라 못하는겁니다..
11|['나', 'ㄴ', '노랑', '새', 'ㄱ', '까지', '간적', '있', '어']|난 노랑색까지 간적있어
12|['안', '되', 'ㄴ다', '=', '안', '누르', '었', '다']|안된다=안눌렀다
13|['켠', '와', 'ㅇ', '?']|켠왕?
14|['ㄴ', 'ㅗ', '구현']|노구현
15|['켠', '와', 'ㅇ', '선언', '?']|켠왕선언?
16|['뚫어뻥', '쓰', '어야', '대', 'ㅁ']|뚫어뻥 써야댐
17|['피', '요', 'ㅇ', '~']|피용~
18|['형', '화', '이', '면', '불펀스']|형화면 불펀스
19|['피', 'ㅇ', 'ㅠ']|피유
20|['피', 'ㅇ', 'ㅠ', 'ㅇ', '...']|피융...
21|['이것', '켠', '와', 'ㅇ', '안', '되', 'ㅁ', 'ㅋㅋ', 'ㅋㅋ']|이거 켠왕 안됨 ㅋㅋㅋㅋ
22|['이것', '우습', '게', '보', '시', '네', 'ㅋㅋ', 'ㅋㅋ']|이거 우습게보시네 ㅋㅋㅋㅋ
23|['순위', '서버', '날라가', 'ㅁ', 'ㅋㅋ']|순위 서버 날라감 ㅋㅋ
24|['한게임', '터지', '어서', '못', '보', 'ㅁ']|한게임 터져서 못봄
25|['켠', '와', 'ㅇ', '가지', '말', '자', '제발']|켠왕 가지 말자 제발
26|['타이머', '키', 'ㅂ시다']|타이머 킵시다
27|['피', 'ㅇ', 'ㅠ', 'ㅇ', '...', '.']|피융....
28|['이것', '디', '게', '어려움']|이거 디게 어려움
29|['오', '아', '이것', '진짜', '오랜만', '이', '다']|와 이거 진짜 오랜만이다
30|['켠', '와', 'ㄴ', '이', '라', '하', '엇', '다', '?', '?', '?', 'ㅋㅋ', 'ㅋㅋ']|켠완이라햇다??? ㅋㅋㅋㅋ
31|['켠', '와', 'ㅇ', '가', 'ㅂ시다', '!']|켠왕 갑시다!
32|['이것', '켠', '와', 'ㅇ', '절대', '안', '되', 'ㅁ']|이거 켠왕 절대 안됨
33|['밑', '에', '알록달록', '하', 'ㄴ', '서', 'ㄴ', '그', '게', '지도', '이', 'ㅁ']|밑에 알록달록한 선 그게 지도임
34|['이거', 'ㄹ', '켠', '왕', '하', '겠', '다', '하', '시', '었', '네', '?', 'ㅋㅋㅋ']|이걸 켠왕하겠다하셨네? ㅋㅋㅋ
35|['이것', '켠', '왕안', '되', 'ㅁ']|이거 켠왕안됨
36|['이형', '켠', '황', '절대', '못', '하', '아요']|이형 켠황 절대못해요
37|['타이머', '켜', 'ㅂ시다']|타이머 켭시다
38|['나', '도', '이것', '끝', '까지', '깨', '본적', '없', '는', '거', '같', '음']|나도 이거 끝까지 깨본적 없는거같음
39|['형', '화면', '에', '6', '개', '는', '띄우', '고', '게임', '하', 'ㄹ', '수', '있', '겠', '는데', '?', '?', '?', '?', '?']|형 화면에 6개는 띄우고 게임할수있겠는데?????
40|['ㅇ', 'ㅗ']|오
41|['절', '대', '엔', '딩', '못', '가', '아']|절 대 엔 딩 못 가
42|['형', '이', 'ㄱ', 'ㅓ엄청', '어렵', '어요']|형 익 ㅓ엄청 어려워요
43|['이것', '절대', '못하', 'ㅁ', '켠', '와', 'ㅇ']|이거 절대못함 켠왕
44|['빨리', '누르', '어야', '대', 'ㅁ']|빨리 눌러야댐
45|['머', '하', '시', '어요']|머하세요
46|['바닥', '없', '는', '거', '아니', 'ㄴ가']|바닥없는거아닌가
47|['미리', '하', '아야', '주', '어']|미리 해야줘
48|['계', '쏙', '죽', '찌', '어', '?']|계쏙 죽쪄?
49|['이것', '앤디', 'ㅇㅂ', 'ㅗ', '신', '다', 'ㄱ', 'ㅗ', '이', '어', '?']|이거 앤딩보신다고여?
50|['게임', '방법', '을', '보세', '이', '어', 'ㅋㅋㅋ']|게임 방법을 보세여 ㅋㅋㅋ
51|['발판', '없', '는', '거', '아니', 'ㅁ', '?']|발판없는거아님?
52|['뚫어뻥', '맞추', '시', '어요']|뚫어뻥 맞추세요
53|['개', '못', '해', 'ㄱ', '...', '.']|개못핵....
54|['대각선', '으로', '하', '아야', '되', 'ㄴ다고', '요', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|대각선으로 해야된다고요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
55|['켠', '와', 'ㅇ', '가즈아ㅏㅏㅏㅏㅏㅏ']|켠왕 가즈아ㅏㅏㅏㅏㅏㅏ
56|['스피드', '빨', '이', '라', '지', '엇', '으니까', '더', '일찍', '뛰', '어야', '죠']|스피드빨라졋으니까 더 일찍뛰어야죠
57|['이상', '하', 'ㄴ데', '?']|이상한데?
58|['타이밍', '맞추', '어야', '하', 'ㅁ']|타이밍 맞춰야함
59|['지붕', '에', '걸', '으시', '시', '어야', '죠']|지붕에 걸으셔야죠
60|['누가', '보', '아도']|누가봐도
61|['넘', '느리', '어']|넘느려
62|['잘', '맞추', '어서', '하', '아야', '되', '요']|잘맞춰서해야되요
63|['빨리', '누르', '시', '어요']|빨리 누르세요
64|['초', '딩', '이', '더', '잘', '하', 'ㅁ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|초딩이 더잘함 ㅋㅋㅋㅋㅋㅋㅋㅋ
65|['너무', '느리', 'ㅁ']|너무 느림
66|['타이밍', '못', '맞추', 'ㄴ', '거', '이', 'ㅁ', '^^']|타이밍 못맞춘거임 ^^
67|['배경', '이', 'ㅁ']|배경임
68|['각', '을', '보', '시', 'ㅂ쇼']|각을보십쇼
69|['되', '는', '거', '이', 'ㅁ']|되는거임
70|['마지막', '에', 'ㄴ', '뛰', '는', '거', '계속', '연속', '으로', '나오', '아요']|마지막엔 뛰는거 계속 연속으로 나와요
71|['게임', '방법', '을', '보', '아', '이', '어']|게임방법을 봐여
72|['건물', '에', '걷', '어야', '하', 'ㅁ']|건물에 걸어야함
73|['오늘', '달리', '어', '보', '시', 'ㄹ', '?']|오늘 달려보실?
74|['지붕', '위', '에다', '붙이', '어야', '죠']|지붕위에다 붙여야죠
75|['느리', '어']|느려
76|['개', '못', '하', '아', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|개못해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
77|['두', '번', '누', 'ㄹ', '러', '요', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|두번눌러욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
78|['봄', '꽃피', '는', '날', '-', '>', '특수', '문자', '도배', '에', '주의', '하', '아', '주', '시', '어요', '.', '[', '경고', ']']|봄꽃피는날 -> 특수문자 도배에 주의해주세요. [경고]
79|['빨리', '누르', '어야', '되', '요']|빨리 눌러야되요
80|['빨리', '하', '시', '어야', '하', '아요']|빨리하셔야해요
81|['형', '이', '못하', '는', '걸', '끄', '어야']|형이 못하는걸꺼야
82|['초등학생', '때', '부터', '지금', '까지', '10년', '간', '하', '아', '오', '았', '지만', '못', '깨', '었', '음']|초등학생때부터 지금까지 10년간 해왔지만 못깼음
83|['건물', '에', '걸', '고', '가', '아야', '하', 'ㅁ']|건물에 걸고 가야함
84|['타', '-', '이', '-', '미', 'ㅇ']|타 - 이 - 밍
85|['켠', '왕해', '도', '못하', 'ㄹ', '것', '같', '아', '.', '.']|켠왕해도 못할 것같아..
86|['클릭', '을', '2', '번', '하', '아', '보', '새', '요']|클릭을2번해보새요
87|['오', '아']|와
88|['절', '대', '게', '임', '방', '법', '보', '아']|절 대 게 임 방 법 봐
89|['뒤', '에', '부처', '냥', '비웃', '는', '거', '보', '아', '...']|뒤에 부처냥 비웃는거봐...
90|['형', '이', '못하', '아서', '그', '랩']|형이 못해서 그랩
91|['반', '응소', 'ㄱㄷ', 'ㅗ', '가', 'ㅠ', 'ㅠ']|반응속도가 ㅠㅠ
92|['점프', '해서', '그것', '왜', '쏘겟어요']|점프해서 그걸 왜 쏘겟어요
93|['빨', '리가', '아니', '라 주', 'ㄹ', '날리', '어서']|빨리가아니라 줄날려서
94|['초', '딩', '서', 'ㄴ', '에서', '정리']|초딩선에서 정리
95|['뚫어뻥', '쓰', '시', '어요']|뚫어뻥쓰세요
96|['건물', 'ㄲ', 'ㅗ', 'ㄱ', '대기', ';']|건물꼭대기;
97|['게임', '방법', '을', '보', '아요']|게임방법을 봐요
98|['망하', 'ㄹ', '만', '하', '었', '네', '.', '.']|망할만했네..
99|['노라', 'ㄴ', '줄', '만', '되', '지', '않', '나', 'ㅋㅋ']|노란줄만 되지않나 ㅋㅋ
100|['바닥', '이', '노란색', '이', '아야']|바닥이 노란색이여야
101|['켠', '와', 'ㅇ', '성공', '하', 'ㄹ려면', '3', '일', '은', '걸리', 'ㄹ', '듯', 'ㅋㅋ', 'ㅋㅋ']|켠왕 성공 할려면 3일은 걸릴듯ㅋㅋㅋㅋ
102|['네', 'ㅇ']|넹
103|['게임', '방법', '을', '보', '고', '하', '는', '게', '어떻', 'ㄹ까요']|게임방법을 보고 하는게 어떨까요
104|['붉', '으락']|불그락
105|['잘', '하', 'ㄴ다', '!']|잘한다!
106|['쉽', '다고', '말씀', '하', '시', 'ㄴ', '분이', '어디', '에', '있', '는', '누구', '시', 'ㄴ가요', '?', 'ㅋㅋ']|쉽다고 말씀하신 분이 어디에 있는 누구신가요?ㅋㅋ
107|['네', '죄송', '하', 'ㅂ니다', '.', '.']|네 죄송합니다..
108|['형', '화면', '못', '키우', '어', '주', '시', '나요']|형 화면 못키워주시나요
109|['키', 'ㅇ', 'ㅡㅡㅡ', '억']|킹 ㅡㅡㅡ 억
110|['발', '----', '끌', 'ㄴ']|발 ---- 끈
111|['너무', '자', 'ㄹ', '하네', '이', '어']|너무 잘하네여
112|['울', '그', '라', 'ㄱ', '붉', '으락']|울그락 불그락
113|['뚜', '루', '뻥', '으로', '주', 'ㄹ', '달', '아서', '매달리', '는', '거', '이', 'ㅁ']|뚜루뻥으로 줄 달아서 매달리는거임
114|['바닥', '이', '노란색', '이', '아야', '차', 'ㄱ', '지', '가능', '하', 'ㄴ', '듯']|바닥이 노란색이여야 착지 가능한듯
115|['너', '몇', '점', '이', 'ㄴ데', 'ㅋㅋ']|너몇점인데 ㅋㅋ
116|['바르', 'ㅡㅡ', '끈']|발ㅡㅡㅡ끈
117|['추억', '으로', '손', '크', '어', 'ㄴ']|추억으로 손컨
118|['그때', '도', '이렇', '었', '자', '나', '이것', '도', '추억', '이야']|그때도 이랬자나 이것도 추억이야
119|['형', '너무', '못하', '아', '.', '.']|형 너무 못해..
120|['몇', '점', '이', 'ㄴ데', 'ㅋㅋ']|몇점인데 ㅋㅋ
121|['저', '기어', 'ㄱㄷ', 'ㅗ', '안나', '요', 'ㅋㅋ']|저 기억도 안나요 ㅋㅋ
122|['디', 'ㄹ', '넣', '다가', '오늘', '방송', '이', '추억', '되', 'ㄹ', '수도', '.', '.']|딜 넣다가 오늘방송이 추억될수도..
123|['빨리', '누르', '어']|빨리 눌러
124|['개', '못', '하', '아']|개못해
125|['미리', '날리', '어야', '주', '어']|미리 날려야줘
126|['바로', '누르', '세', '이', '어']|바로 누르세여
127|['되', '게', '못하', 'ㄴ다']|되게못한다
128|['형', '이', '느리', '어']|형이 느려
129|['저기', '건물', '에', '하', '아야', '하', '아요']|저기 건물에 해야해요
130|['더', '일', '찌', 'ㄱ', '!!']|더 일찍!!
131|['빨리', '누르', '어요']|빨리눌러요
132|['바닥', '이', '노란색', '이', '아야', '차', 'ㄱ', '지', '가능한듯ㅋㅋㅋ']|바닥이 노란색이여야 착지 가능한듯ㅋㅋㅋ
133|['방법', '을', '한', '번', '보세', '이', '어']|방법을 한번 보세여
134|['풍', '형', '빈정', '하', '았었', '어', 'ㅠ', 'ㅠ']|풍형 빈정했었어 ㅠㅠ
135|['노란색', '이', '아니', '아서']|노란색이 아니여서
136|['뚫어뻥', '각', '도', '고정', '이', '라', '그러', 'ㅁ']|뚫어뻥 각도 고정이라그럼
137|['건물', '에', '뚜', 'ㄹ', '어', '뻥', '을', '것', '러', 'ㅇ', '야', '하', 'ㅁ']|건물에 뚤어뻥을 거렁야함
138|['빨리', '누르', '어']|빨리눌러
139|['더', '빨리', 'ㄹ', '요']|더 빨릴요
140|['네네', '안', '밟', '아', '지', 'ㅁ']|네네 안밟아짐
141|['얼굴', '붉히', '는', '게', '아니', '라', '되', '는', '거', '맞', '다고', '말', '하', '아', '주', '는', '거', 'ㄴ', '데']|얼굴 붉히는게 아니라 되는거 맞다고 말해주는건데
142|['주니어', '부르', '어라']|주니어불러라
143|['내', '가', '한때', '말', '이', '어', '~']|내가 한때말여~
