|morphs|origin
0|['루', 'ㄱ', '삼', '화이팅', '1']|룩삼화이팅1
1|['아무', '도어', 'ㅄ', '나', '요', '르', '#', 'charity']|아무도없나요르 #charity
2|['은', '제', 'ㅇ', 'ㅗ', '냐', '...', '5', '시와', '주', '었', '으면', '.', '.']|은제오냐...5시와줬으면..
3|['않', '이', '비트', '과', 'ㅇ', 'ㄱ', 'ㅗ', '언제', '들어오', '냐', 'ㅡㅡ']|않이 비트광고 언제들어오냐 ㅡㅡ
4|['비트', '과', 'ㅇ', 'ㄱ', 'ㅗ', '되', '기', 'ㄴ', '하', '는', '거', '이', 'ㅁ', '?']|비트광고 되긴하는거임?
5|['6', '시', '에', '켜', '어', '지', '면', '레전드']|6시에 켜지면 레전드
6|['그렇', 'ㄹ', '리가', '요']|그럴리가요
7|['charity', '1', '나', '도', '달', '고', '싶', '지만', '문찐이랗', '#', 'charity']|charity1 나도 달고싶지만 문찐이라ㅎ #charity
8|['힝', '어', '하', '게', '하', '는', '거', '야']|힝어케하는거야
9|['짜', 'ㄴ']|짠
10|['채팅', '차', 'ㅇ', '아래', '에', '설정', '누르', '어서', '위쪽', '에', '표시', '방법', '편집', '가시', '이', '면', '눈송이', '달수', '있', '어요']|채팅창아래에 설정눌러서 위쪽에 표시방법편집가시면 눈송이달수있어요
11|['루', 'ㄱ', '삼', '!!!', '!!', '방송', '켜', '어', '!', '!!!', '!!']|룩삼!!!!! 방송켜!!!!!!
12|['루', 'ㄱ', '삼', '방송', '킴', '?']|룩삼 방송킴?
13|['안경', '뭐', 'ㅇ', '미', 'ㅋ']|안경뭥미 ㅋ
14|['비트', '구매', '하', '시', 'ㄴ', '거', '에', '이', '어', '님', '들', '?']|비트 구매하신거에여 님들?
15|['루', 'ㄱ', '삼', '은', '제', '오', '냐', 'ㅡㅡ']|룩삼 은제오냐 ㅡㅡ
16|['빨리', '방송', '켜', '라', '@', '루', 'ㄱ', '삼']|빨리 방송켜라 @룩삼
17|['5252', '!', '루', 'ㄱ', '쌈', '쿤', '빨', '리키', '라이', '!']|5252! 룩쌈쿤 빨리키라이!
18|['10', '분', '일찍', '하', '기', '이', '면', '레전드']|10분일찍키면 레전드
19|['ㅇ', 'ㅗ', '방', '있']|오방있
20|['루', 'ㄱ', '삼은', '루', 'ㄱ', '삼', '하', 'ㄹ', '것', '이기', '때문', '에', '기대', '하', '지', '않', '는다']|룩삼은 룩삼 할것이기때문에 기대하지 않는다
21|['후', '우', 'ㄱ', '후', '우', 'ㄱ']|후욱후욱
22|['키스', '갈기', '기', '전', '에', '빨리', 'ㅇ', 'ㅗ', '세', '이', '어']|키스 갈기기 전에 빨리 오세여
23|['쌈', '님', '없', '는', '월화', '숨', 'ㅗ', 'ㄱ', '허전', '하', '었', '읍니다', 'ㅜㅜ']|쌈님없는 월화수목 허전했읍니다 ㅜㅜ
24|['어', '~', '그렇', '게', '방송', '을', '일찍', '하', '기', '이', '면', '~']|어~ 그렇게 방송을 일찍키면~
25|['머', '나', 'ㄴ', '투', '케리', 'ㄱ', '터', '많이', '해금햇겟지']|머난투 케릭터 많이 해금햇겟지
26|['후', '우', 'ㄱ', '후', '우', 'ㄱ', '루', 'ㄱ', '삼', '쿤', '언제', 'ㅇ', 'ㅗ', '냐', '능']|후욱후욱 룩삼쿤 언제 오냐능
27|['루', 'ㄱ', '사', '므', '쿤', '...', '후', '우', 'ㄱ', '후', '우', 'ㄱ', '...', '.']|룩사므쿤... 후욱후욱....
28|['ㅇ', 'ㅗ', '배', 'ㅇ', '있']|오뱅있
29|['치킨', '식', '는다', '빨리', 'ㅇ', 'ㅗ', '셈']|치킨 식는다 빨리 오셈
30|['루', 'ㄱ', '쌈', '님', '보', '고', '싶', '읍니다']|룩쌈님 보고 싶읍니다
31|['강정', '먹', '으면서', '보', '아야지']|강정먹으면서 봐야지
32|['싸', '아', '미', '가', '보', '고', '싶', '어', '울', '었', '어']|싸미가 보고싶어 울었어
33|['아', '진짜', '일찍', '켜', '어', '주', '어', '오늘', '만큼', '은']|아 진짜 일찍켜줘 오늘만큼은
34|['로', '아하', '이', '면서', '보', '아야', '지', 'ㅇ']|로아하면서봐야징
35|['방', '.', '소', 'ㅇ', '.', '켜', '어']|방.송.켜
36|['아지', 'ㄱㄷ', 'ㅗ', '알', 'ㄴ', '킴', '?']|아직도 안킴?
37|['절', '대', '일', '찍', '켜', '어']|절 대 일 찍 켜
38|['쌈', '이', 'ㄴ', '오늘', '방송', '안', '하', '나요', '?']|쌈인 오늘 방송 안하나요?
39|['그냥', '지각', '이', 'ㄴ가요', '?']|그냥 지각인가요?
40|['아직', '지', '각', '은', '아니', 'ㅁ']|아직 지각은 아님
41|['아직', '55', '분', '이', 'ㅁ']|아직 55분임
42|['7', '시가', '배', 'ㅇ', '소', 'ㅇ', '시간']|7시가 뱅송시간
43|['요즘', '그래도', '성실', '하', '아', '지', '어서', '지', '각', '안해', '염']|요즘 그래도 성실해져서 지각안해염
44|['루', 'ㄱ', '하']|룩하
45|['요즘', '지', '각', '은', '안', '하', '았', '음', '7', '시정', '각', '에', '키', '시더', 'ㄴ', '데', 'ㅇ', 'ㅋㅋ']|요즘 지각은 안했음 7시정각에키시던뎅 ㅋㅋ
46|['방제', '바', '끼', 'ㅁ', '!']|방제바낌!
47|['ㅇ', 'ㅗ']|오
48|['바', '끼', '었', '네']|바꼈네
49|['오랜만', '이', 'ㅂ니다', '?']|오랜만입니다?
50|['루', 'ㄱ', '사', '므', '쿤', '빨', '리', '키라', '능', '후', '우', 'ㄱ', '후', '우', 'ㄱ']|룩사므쿤 빨리키라능 후욱후욱
51|['오', '아', '룩즈!']|와 룩즈!
52|['지', 'ㄴ', '효', '쿤', '!']|진효쿤!
53|['ㅇ', 'ㅗ', '이', '오이!', '루', 'ㄱ', '삼', '쿤', '!', '오래', '기다리', '엇', '다구', '~', '~']|오이오이! 룩삼쿤! 오래기다렷다구~~
54|['저것', '뭔', '드', '립', '이', '냐']|저거 뭔드립이냐
55|['어', '~', '방제', '를', '그렇', '게', '바꾸', '어', '버리', '면', '~']|어~ 방제를 그렇게 바꿔버리면~
56|['어', '~', '이렇', '게', '방제', '를', '바꾸', '어', '버리', '면', '~']|어~ 이렇게 방제를 바꿔버리면~
57|['언제', '하', '기', '냐']|언제키냐
58|['어', '~', '뭐', '시기', '뭐', '시기', '누구', '가', '만들', 'ㄴ', '밈임?']|어~ 뭐시기뭐시기 누가 만든 밈임?
59|['ㄲ', 'ㅗ', 'ㄱ', '정시', '에', '하', '기', '는', 'ㅅㄲ...']|꼭 정시에키는 ㅅㄲ...
60|['아', '~', '카', '테', '고리', '를', '대', '난투', '로', '하', '아', '버리', '면', '~']|아~ 카테고리를 대난투로 해버리면~
61|['루', 'ㄱ', '삼', '이염']|룩삼이염
62|['사', '므', '쿤', '사', '므', '쿤', '...', 'ㅇ', 'ㅗ', '이', 'ㅇ', 'ㅗ', '이', '...', '.']|사므쿤 사므쿤... 오이오이....
63|['아아', '루', 'ㄱ', '하']|아아 룩하
