|morphs|origin
0|['혀', 'ㄱ', '주', 'ㄴ', '상']|혁준상
1|['혀', 'ㄱ', '주', 'ㄴ', '아', '언제', '오', '냐']|혁준아 언제오냐
2|['혀', 'ㄱ', '주', 'ㄴ', '아', '.', '.']|혁준아..
3|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '!']|공혁준!
4|['혀', 'ㄱ', '하']|혁하
5|['말', '아']|마
6|['오늘', '도', '일찍', '켜', '었', '네']|오늘도 일찍켰네
7|['혀', 'ㄱ', '주', 'ㄴ', '이형', '저', '좋아하', '죠']|혁준이형 저좋아하죠
8|['혀', 'ㄱ', '주', 'ㄴ', '아', '채팅', '창안', '보이', 'ㄴ다']|혁준아 채팅창안보인다
9|['ㄱ', 'ㅗ', 'ㅇ', '하']|공하
10|['혀', 'ㄱ', '주', 'ㄴ', '이형', '뽀뽀', '하', '자']|혁준이형 뽀뽀하자
11|['혀', 'ㄱ', '주', 'ㄴ', '아', '!']|혁준아!
12|['곰', '보라', 'ㅇ', '경쟁', '하', '듯이', '켜', '어', '버리', '네']|곰보랑 경쟁하듯이 켜버리네
13|['혀', 'ㄱ', '주', 'ㄴ', '이', '밥', '묵자']|혁준이 밥묵자
14|['트윕로그인해라', '혀', 'ㄱ', '주', 'ㄴ', '아']|트윕로그인해라 혁준아
15|['공학', 'ㅗ', 'ㅇ', '하']|공하공하
16|['되', '어', '하']|돼하
17|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '젖', '비', 'ㄱ', '파이', '~']|공혁준젖 빅파이~
18|['혀', 'ㄱ', '주', 'ㄴ', '이형', '사랑합니다', '...']|혁준이형 사랑합니다...
19|['혀', 'ㄱ', '주', 'ㄴ', '이형', '젖', '쭉쭉', '빨', '기']|혁준이형 젖 쭉쭉빨기
20|['사람', '없', '을', '때', '젖', '살짝', '보이', '어', '주', '시', '어요']|사람없을때 젖 살짝보여주세요
21|['혀', 'ㄱ', '주', 'ㄴ', '이형', '부지런햐']|혁준이형 부지런햐
22|['혀', 'ㄱ', '주', 'ㄴ', '이', '는', '착하', 'ㄴ', '어린이', '야', '일찍', '자', '고', '일찍', '일어나', '네']|혁준이는 착한 어린이야 일찍자고 일찍일어나네
23|['파', '앗', '국가']|팟국가
24|['혀', 'ㄳ', '아']|혃아
25|['채', '차', 'ㅇ', '이', '제대', 'ㄴ', '당']|채창이제댄당
26|['혀', 'ㄱ', '주', 'ㄴ', '님', '팬', '미팅', '계획', '있', '으시', 'ㄴ가요', '?']|혁준님 팬미팅 계획있으신가요?
27|['혀', 'ㄱ', '주', 'ㄴ', '아', '반갑', '다']|혁준아 반갑다
28|['혀', 'ㄱ', '주', 'ㄴ', '이형', '젖꼭지', '쭉쭉쯉♥']|혁준이형 젖꼭지 쭉쭉쯉♥
29|['검사', '과', 'ㅇ', 'ㄱ', 'ㅗ', '지겹', '다', 'ㄹㅇ']|검사광고 지겹다 ㄹㅇ
30|['혀', 'ㄱ', '하', '혀', 'ㄱ', '하']|혁하 혁하
31|['혀', 'ㄱ', '주', 'ㄴ', '이형', '나라', 'ㅇ', '사귀', '자']|혁준이형 나랑 사귀자
32|['나', 'ㄴ', '왜', '광고', '안뜨냥']|난 왜 광고 안뜨냥
33|['나', 'ㄴ', '쭈니쿤', '뿐', '이', '야', '~']|난 쭈니쿤 뿐이야~
34|['혀', 'ㄱ', '하', '~']|혁하~
35|['뒤', '실', '캐', 'ㅁ', '하', '기']|뒤실캠키
36|['목소리', '가', '안', '들', '러']|목소리가 안드러
37|['혀', 'ㄱ', '주', 'ㄴ', '아', '시청자', '수', '왜', '하', '게', '낮', '아', '지', '었', '어', '...']|혁준아 시청자 수 왜케 낮아졌어...
38|['혀', 'ㄱ', '주', 'ㄴ', '이', '더']|혁준이더
39|['캐', 'ㅁ', '켜', '어', '주', '어요', 'ㅠ', 'ㅠ']|캠켜줘요 ㅠㅠ
40|['캐', 'ㅁ', '켜', '어']|캠켜
41|['혀', 'ㄱ', '주', 'ㄴ', '아', '캐', 'ㅁ', '켜', '어', '주', '어']|혁준아 캠켜줘
42|['혀', 'ㄱ', '주', 'ㄴ', '이', '젖꼭지', '쯉쯉', '빨', 'ㄱ', 'ㅗ', '애무', '하', '아', '주', '기', '♥']|혁준이 젖꼭지 쯉쯉 빨고 애무해주기♥
43|['청자', '수', '는', '막', '켜', '었', '으니까', '...']|청자수는 막 켰으니까...
44|['캐', 'ㅁ', '하', '기', '자']|캠키자
45|['세티', 'ㅇ', '중인', '듯']|세팅중인듯
46|['캐', 'ㅁ', '켜', '어', '주', '시', '어요']|캠켜주세요
47|['손', '캐', 'ㅁ', '인증', '좀']|손캠 인증좀
48|['혀', 'ㄱ', '주', 'ㄴ', '이형', '뽀뽀']|혁준이형 뽀뽀
49|['그때', 'ㄴ', '그때', 'ㄴ', '그때', 'ㄴ']|그땐그땐그땐
50|['야', '혀', 'ㄱ', '주', 'ㄴ', '코', '설', '간다', '!!', '!!']|야혁준 코설간다!!!!
51|['혀', 'ㄱ', '주', 'ㄴ', '아', '잘', '잣', '냐']|혁준아 잘잣냐
52|['곰', '보라', 'ㅇ', '같', '은', '시간', '에', '방송', '켜', '네']|곰보랑 같은시간에 방송켜네
53|['야', '때', 'ㄴ', '코', '때', 'ㄴ']|야땐코땐
54|['혀', 'ㄱ', '주', 'ㄴ', '이형', '밥', '어', '들', '시', '었', '나요']|혁준이형 밥 드셨나요
55|['띠', 'ㅇ', 'ㄱ', 'ㅗ', 'ㄱ']|띵곡
56|['롤', '어', '찜', '되', 'ㅁ', '?']|롤 어찜됨?
57|['스위치', '는', '오', 'ㅁ', '?']|스위치는 옴?
58|['등', '어', '들르', 'ㅁ', '어', '들르', 'ㅁ']|등 드름 드름
59|['면도', '좀', '하', '시', '어야', '하', '겠', '어', '용']|면도 좀 하셔야겠어용
60|['좀', '씻', '어라', '개', '새', 'ㄱ', '갸']|좀 씻어라 개색갸
61|['나', '도', '배고프', '다고', '항']|나도 배고프당
