|morphs|origin
0|['오늘', '새벽', '이', '아니', '라', '오늘밤', '에', '오', 'ㄴ다고', '합니다', '!', '똥', '냥', '이', '이제', '구독', '그', 'ㄴ', '벌', '크', '시', '업', '하', 'ㄹ', '일', '만', '남', '앗', '당']|오늘새벽이 아니라 오늘밤에 온다고 합니다! 똥냥이 이제 구독근 벌크업할일만 남앗당
1|['heart', '2', 'Fearrr', 'heart', '2', 'Jumjum', '상태', '메로', 'ㅇ', '~']|heart2Fearrr heart2Jumjum 상태 메롱~
2|['이모', '없', '으니까', '새벽', '에', '보', 'ㄹ게', '없', '다', '~', 'ㅠ']|이모 없으니까 새벽에 볼게 없다~ ㅠ
3|['새봄', '님', '방송', '보고', '옵', '치', '해보', '는데', '겁나', '아', '어렵네요.....크흠....']|새봄님 방송보고 옵치 해보는데 겁나 어렵네요.....크흠....
4|['한', '쿠', 'ㄱ', '냥', '이']|한쿡냥이
5|['아', '내일', '이', '면', '생방', '을', '보', 'ㄹ', '수', '있', '겠', '군']|아 내일이면 생방을 볼수 있겠군
6|['빨리', '나타나', '아', '주', '시', '어요', 'heart', '2', 'Cry', 'heart', '2', 'Cry', 'heart', '2', 'Cry']|빨리 나타나주세요 heart2Cry heart2Cry heart2Cry
7|['한국', 'ㅇ', 'ㅗ', 'ㄴ', '거', '같', '은데', '오늘', '하', '는', '날', '이', 'ㅁ', '?', '아니', 'ㅁ', '내', 'ㄹ', '부터', '?']|한국온거같은데 오늘 하는날임? 아님 낼부터?
8|['오늘', '은', '소', 'ㅇ', '출', '컴', '때문', '에', '없', '거나', '테스트', '방송', '일거', '같', '아요']|오늘은 송출컴때문에 없거나 테스트 방송일거같아요
9|['heart', '2', 'Sun', '어서', '오', '시', '어요']|heart2Sun 어서오세요
10|['ㄱ', 'ㅗ', 'ㅇ', 'ㅡ', '지', 'heart', '2', 'Huhuhu']|공 ㅡ 지 heart2Huhuhu
11|['ㅇ', 'ㅗ', '2', '분', '전', '집', '도착', '냥', '이']|오 2분전 집도착냥이
12|['테스트', '방송', '조', 'ㄴ', '버', 'heart', '2', 'Pinkcat']|테스트 방송 존버 heart2Pinkcat
13|['테스트', '방송', '기대', '하', '지', '말', '라', '하', '았', '지만', '조', '느', '버', 'heart', '2', 'Huhuhu', 'heart', '2', 'Jumjum']|테스트방송 기대하지 말랬지만 존ㅡ버 heart2Huhuhu heart2Jumjum
14|['ㅇ', 'ㅗ', '뱅어', 'ㅄ', '?']|오뱅없?
15|['내일', '오', 'ㅂ니까', '?']|내일옵니까?
16|['새봄', '추도', '사람', '이', '면', '오늘', '은', '쉬', 'ㄹ', '듯', 'heart', '2', 'Poop', '3']|새봄추도 사람이면 오늘은 쉴듯 heart2Poop3
17|['오늘', '은', '.', '...', '완전', '랜덤', '일', '듯', '.', '.', '소', 'ㅇ', '출', '컴', '바꾸', 'ㄴ다고', '하', '니', '테스트', '방송', '하', 'ㄹ려', '나', 'ㅋ', 'heart', '2', 'Heart', '2', 'heart', '2', 'Huhuhu', 'heart', '2', 'Jumjum', 'heart', '2', 'Pinkcat']|오늘은.... 완전 랜덤일듯.. 송출컴 바꾼다고 하니 테스트방송 할려나 ㅋ heart2Heart2 heart2Huhuhu heart2Jumjum heart2Pinkcat
18|['내일', '오', 'ㅂ시다']|내일옵시다
19|['heart', '2', 'Ppd', '내', '이름', '은', '트', 'ㄹ', '수', ',', '탐', '정', '이', '죠', 'heart', '2', 'Sun']|heart2Ppd 내이름은 트수, 탐정이죠 heart2Sun
20|['어', 'ㅄ']|없
21|['작', 'ㅗ', '일어나', '아서', '컴', '바', '꾼', '대', '었', '으니까', '.', '.', '아직', '멀', '었', '다', '냥']|자고 일어나서 컴 바꾼댔으니까.. 아직 멀었다냥
22|['heart', '2', 'Hiyo', 'heart', '2', 'Hiyo', '그립', '었', '읍니다', 'heart', '2', 'Cry']|heart2Hiyo heart2Hiyo 그리웠읍니다 heart2Cry
23|['보', 'ㅁㅊ', 'ㅠ', '오늘', 'ㅇ', 'ㅗ', '시냐', '냥', '?']|봄츄 오늘 오시냐냥?
24|['소', 'ㅇ', '출', '이', 'heart', '2', 'Pray']|송출이 heart2Pray
25|['다행히', '컴', '은', '살', '아', '계시', 'ㄴ', '갑', '네', 'heart', '2', 'Pinkcat']|다행히 컴 은살아 계신갑네 heart2Pinkcat
26|['heart', '2', 'Ppd', 'heart', '2', 'Heart', '2', 'heart', '2', 'Huhuhu', '이것', '로', '도배', '하', '아', '주', '시', '어요']|heart2Ppd heart2Heart2 heart2Huhuhu 이거로 도배해주세요
27|['그립', '읍니다', '오늘', '테스트', '하', 'ㅂ니까', '요']|그립읍니다 오늘 테스트합니까요
28|['테스트', '방송', '하', 'ㄹ지', '모르', '겠', '네요', 'heart', '2', 'Kkigomm', 'heart', '2', 'Jumjum']|테스트방송할지 모르겠네요 heart2Kkigomm heart2Jumjum
29|['ㅇ', 'ㅗ', '채팅', '차', 'ㅇ', '에', '새', '드', '더미', '가', '있', '네', '기대', '기대']|오 채팅창에 새드더미가 있네 기대기대
30|['세티', 'ㅇ', '냥', '이']|세팅냥이
31|['아', '.', '.', '셋', '티', 'ㅇ', '냥', '이', '가셨넹..', 'heart', '2', 'Cry', 'heart', '2', 'Cry']|아.. 셋팅냥이 가셨넹.. heart2Cry heart2Cry
