|morphs|origin
0|['키', 'ㅇ', '때', '는', '말', '야']|킹때는말야
1|['경운기', '3', '단', 'H', '로', '달리', '면', '빠르', 'ㄴ데', 'ㅡㅡ']|경운기 3단 H로 달리면 빠른데 ㅡㅡ
2|['요즘', '빠르', 'ㅁ', '?']|요즘 빠름?
3|['청주시', 'ㄱ', '으로', '경운기', '가', '더', '빠르', 'ㅁ']|청주식으로 경운기가 더빠름
4|['ㅇ', 'ㅗ', '신시', 'ㄱ', '문물']|오 신식문물
5|['이', 'ㄴ', '라인']|인라인
6|['나', 'ㄴ', '서울', '우유', '마시', '엇', '는데', 'ㅎㅎ', '청주', '는', '무슨', '우유', '임', '?']|난서울우유마셧는데 ㅎㅎ 청주는 무슨우유임?
7|['이', 'ㄴ', '라인', '못', '타', '고', '롤러블레이드', '타', '았', '네', 'ㅋㅋ']|인라인 못타고 롤러블레이드 탔네 ㅋㅋ
8|['나', '도', '초딩떄', '경운기', '운전', '하', '아', '보', '았', '는데']|나도 초딩떄 경운기운전해봤는데
9|['경운기', '시동', '것', '는', '거', '개', '꿀잼', '임']|경운기 시동거는거 개꿀잼임
10|['마리', '상점', '확인', '하', '아라', '카', '던', '있다', 'ㅡㅡ']|마리상점 확인해라 카던있다ㅡㅡ
11|['변', '냥', '이', '구', '하', 'ㅁ']|변냥구함
12|['얼마나', '빠르', 'ㄴ지', '사', '고', '나', '면', '죽음']|얼마나 빠른지 사고나면 죽음
13|['지금', '도', '쥬', 'ㄴ', '내', '느리', '어', '경운기']|지금도 쥰내느려 경운기
14|['괴사', 'ㄴ', '은', '아직', '도', '군', '이', 'ㅁ']|괴산은 아직 도 군임
15|['괴사', 'ㄴ', '쿤', '!']|괴산쿤!
16|['응', '피사', 'ㄴ', '군']|응 피산군
17|['우리', '할머니', '집', '괴사', 'ㄴ', '이', 'ㄴ데']|우리 할머니집 괴산인데
18|['피사', 'ㄴ']|피산
19|['괴사', 'ㄴ', 'ㅋㅋ', 'ㅋㅋ']|괴산ㅋㅋㅋㅋ
20|['동향', '사람', '들', '오', 'ㄴ다']|동향사람들 온다
21|['피사', 'ㄴ', '군', 'ㅋㅋ', 'ㅋㅋ']|피산군 ㅋㅋㅋㅋ
22|['초', 'ㄴ', '저', 'ㄱㅊ', 'ㅗ', 'ㄴ']|촌적촌
23|['개', '초', 'ㄴ']|개 촌
24|['마리', '상점', '확인', '하', '아라', '카', '던', '있다', '@', '@', '@', '@', '@', '@', '@', '@', '@', '@', '@', '@', '@']|마리 상점 확인해라 카던있다@@@@@@@@@@@@@
25|['갇히', '었', '다']|갇혔다
26|['오', '아', '섬', '에서', '배', 'ㄴ']|와 섬에서 밴
27|['충', '북', '괴사', 'ㄴ']|충북 괴산
28|['괴사', 'ㄴ', '이', '청주', '냐', '?']|괴산이 청주냐?
29|['이 노래', '뭐', '이', '었', '지']|이 노래 뭐였지
30|['피사', 'ㄴ', '쿤']|피산쿤
