|morphs|origin
0|['침투부', '에서', '방송', '하이라이트', '영상', '이', '올라가', 'ㅂ니다', '.', 'https', ':', '/', '/', 'www', '.', 'youtube', '.com', '/', 'user', '/', 'zilioner', '83', '/']|침투부에서 방송 하이라이트영상이 올라갑니다. https://www.youtube.com/user/zilioner83/
1|['갓', '리저', 'ㄱ', '킹', '심']|갓리적킹심
2|['출근', '하', 'ㄴ', '거', '다', '알', '아요']|출근한거 다 알아요
3|['오', '시', '었', '다']|오셨다
4|['조', 'ㄴ', '버', '는', '승리', '합니다']|존버는 승리합니다
5|['오늘', '은', '어제', '회식', '으로', '인하', 'ㄴ', '늦잠', '이', '시', 'ㄴ가요', '?']|오늘은 어제 회식으로 인한 늦잠이신가요?
6|['이번', '주', '부터', '켜', '는', '시간', '11', '시로', '하', '시', 'ㄴ다고', '하', '시', '었', '음']|이번주부터 켜는시간 11시로 하신다고 하셨음
7|['ㅇㅇ', '근데', '어제', '늦잠', '으로', '늦', '게', '키', '시', '었', '잖아요', 'ㅋㅋㅋ']|ㅇㅇ 근데 어제 늦잠으로 늦게 키셨잖아요 ㅋㅋㅋ
8|['그렇', '고', '보', '니까', '어제', '민방위', '내일', '받', '아야', '하', '겠', '다고', '하', '시', '었', '던', '거', '같', '은데', '다녀오', '시', '었', '나', '?']|그러고보니까 어제 민방위 내일 받아야겠다고 하셨던거같은데 다녀오셨나 ?
9|['어제', '한자', 'ㄴ', '안', '하', '시', '었', '으면', '오늘', '받', '으시', '었', '을', '수', '도']|어제 한잔 안하셨으면 오늘 받으셨을 수도
10|['만두', '의', '완성', '을', '미', 'ㄴ', '두', '의', '완성', '으로', '보', '았', '네', ';', ';']|만두의 완성을 민두의 완성으로 봤네;;
11|['양말', '신', '으시', '었', '네']|양말신으셨네
12|['오', '아', '!']|와!
13|['후', 'ㄱ-', '시']|훅-시
14|['오늘', '도', '잘생기', '었', '다']|오늘도 잘생겼다
15|['마이크', '켜', '어', '주', '어요']|마이크 켜줘요
16|['음', '소거', '잊', '으시', 'ㄴ듯', '?']|음소거 잊으신듯?
17|['아', '조', '씨', '마이크', '꺼지', '었', '어요']|아조씨 마이크 꺼졌어요
18|['박스', '글씨', '체', '가', '뭐', 'ㄴ가', '믿음', '이', '가', '는데']|박스 글씨체가 뭔가 믿음이 가는데
19|['오', '아', '!', '명인', '!']|와! 명인!
20|['연양갱', '꽈', 'ㄱ', '이', 'ㄴ', '줄']|연양갱꽉인줄
21|['키', 'ㅇ', '이', 'ㄴ', '만두', '맛있', '지']|킹인만두 맛있지
22|['오', '아', '침하', '오', '아', '침하', '!']|와 침하 와 침하!
23|['명', '이', 'ㄴ', '만두', '맛있', '죠']|명인 만두 맛있죠
24|['김', '치매', 'ㄴ', '두', '가', '갑', '이', '지']|김치맨두가 갑이지
25|['오늘', '은', '얼마나', '맛없', '게', '들', '시', '려나']|오늘은 얼마나 맛없게 드시려나
26|['ㄱ', 'ㅗ', '추', '시', '러']|고 추 시 러
