time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,validation
2018-12-09 08:02:31,1,0,0,0,0,0,0
2018-12-09 08:02:39,1,0,0,0,0,0,0
2018-12-09 09:12:19,1,0,0,1,0,0,0
2018-12-09 09:18:23,1,0,0,0,0,0,0
2018-12-09 09:18:34,1,0,0,0,0,0,0
2018-12-09 09:18:43,1,0,0,0,0,0,0
2018-12-09 09:18:50,1,0,0,0,0,0,0
2018-12-09 09:19:05,1,0,0,0,0,0,0
2018-12-09 09:57:30,1,0,0,0,0,0,0
2018-12-09 09:57:32,2,0,0,1,0,0,0
2018-12-09 10:01:47,1,0,0,0,0,0,0
2018-12-09 10:26:39,1,0,0,0,0,0,0
2018-12-09 10:26:43,1,0,0,0,0,0,0
2018-12-09 10:27:35,1,0,0,0,0,0,0
2018-12-09 10:27:48,1,0,0,0,0,0,0
2018-12-09 10:35:45,1,0,0,0,0,0,0
2018-12-09 10:35:51,1,0,0,0,0,0,0
2018-12-09 10:35:54,1,0,0,0,0,0,0
2018-12-09 11:23:09,1,0,0,0,0,0,0
2018-12-09 11:23:10,1,0,0,0,0,0,0
2018-12-09 11:23:16,1,0,0,0,0,0,0
2018-12-09 11:30:53,1,0,0,0,1,0,0
2018-12-09 12:25:10,1,0,0,0,0,0,0
2018-12-09 12:25:17,1,0,0,0,0,0,0
2018-12-09 12:28:42,1,0,0,0,0,0,0
2018-12-09 12:28:43,1,0,0,0,0,0,0
2018-12-09 12:28:46,1,0,0,0,0,0,0
2018-12-09 12:33:36,1,0,0,0,0,0,0
2018-12-09 12:39:54,1,0,0,0,0,0,0
2018-12-09 13:06:55,1,0,0,0,0,0,0
2018-12-09 13:24:14,1,0,0,0,0,0,0
2018-12-09 13:24:28,1,0,0,0,0,0,0
2018-12-09 13:24:59,1,0,0,0,0,0,0
2018-12-09 13:25:02,1,0,0,0,0,0,0
2018-12-09 13:25:03,2,0,0,0,0,0,0
2018-12-09 13:25:04,2,0,0,0,0,0,0
2018-12-09 13:25:05,1,0,0,0,0,0,0
2018-12-09 13:25:06,1,0,0,0,0,0,0
2018-12-09 13:25:08,1,0,0,0,0,0,0
2018-12-09 13:25:10,3,0,0,0,0,0,0
2018-12-09 13:25:11,2,0,0,0,0,0,0
2018-12-09 13:25:13,1,0,0,0,0,0,0
2018-12-09 13:25:14,2,0,0,0,0,0,0
2018-12-09 13:25:20,1,0,0,0,0,0,0
2018-12-09 13:25:22,1,0,0,0,0,0,0
2018-12-09 13:25:23,4,0,0,2,0,0,0
2018-12-09 13:25:25,1,0,0,0,0,0,0
2018-12-09 13:25:26,2,0,0,0,0,0,0
2018-12-09 13:25:27,1,0,0,0,0,0,0
2018-12-09 13:25:28,3,0,0,1,0,0,0
2018-12-09 13:25:33,1,0,0,0,0,0,0
2018-12-09 13:25:34,3,0,0,0,0,0,0
2018-12-09 13:25:35,4,0,0,1,0,0,0
2018-12-09 13:25:36,2,0,0,1,0,0,0
2018-12-09 13:25:37,2,0,0,0,0,0,0
2018-12-09 13:25:38,1,0,0,0,0,0,0
2018-12-09 13:25:40,2,0,0,0,0,0,0
2018-12-09 13:25:41,1,0,0,0,0,0,0
2018-12-09 13:25:42,2,0,0,0,0,0,0
2018-12-09 13:25:45,1,0,0,0,0,0,0
2018-12-09 13:25:47,1,0,0,0,0,0,0
2018-12-09 13:25:50,2,0,0,0,0,0,0
2018-12-09 13:25:51,1,0,0,1,0,0,0
2018-12-09 13:25:52,1,0,0,0,0,0,0
2018-12-09 13:25:54,2,0,0,0,0,0,0
2018-12-09 13:25:55,3,0,0,0,0,0,0
2018-12-09 13:25:56,2,0,0,0,0,0,0
2018-12-09 13:26:01,1,0,0,0,0,0,0
2018-12-09 13:26:02,1,0,0,1,0,0,0
2018-12-09 13:26:04,2,0,0,0,0,0,0
2018-12-09 13:26:05,1,0,0,0,0,0,0
2018-12-09 13:26:06,1,0,0,0,0,0,0
2018-12-09 13:26:07,1,0,0,0,0,0,0
2018-12-09 13:26:12,1,0,0,0,0,0,0
2018-12-09 13:26:16,1,0,0,0,0,0,0
2018-12-09 13:26:18,1,0,0,0,0,0,0
2018-12-09 13:26:21,1,0,0,0,0,0,0
2018-12-09 13:26:22,2,0,0,0,0,0,0
2018-12-09 13:26:23,1,0,0,0,0,0,0
2018-12-09 13:26:24,1,0,0,0,0,0,0
2018-12-09 13:26:25,1,0,0,0,0,0,0
2018-12-09 13:26:27,1,0,0,0,0,0,0
2018-12-09 13:26:28,1,0,0,0,0,0,0
2018-12-09 13:26:29,1,0,0,0,0,0,0
2018-12-09 13:26:31,1,0,0,0,0,0,0
2018-12-09 13:26:34,1,0,0,3,0,0,0
2018-12-09 13:26:35,2,0,0,0,0,0,0
2018-12-09 13:26:36,1,0,0,0,0,0,0
2018-12-09 13:26:37,1,0,0,0,0,0,0
2018-12-09 13:26:38,2,0,0,0,0,0,0
2018-12-09 13:26:39,1,0,0,0,0,0,0
2018-12-09 13:26:40,1,0,0,0,0,0,0
2018-12-09 13:26:42,1,0,0,0,0,0,0
2018-12-09 13:26:45,1,0,0,0,0,0,0
2018-12-09 13:26:46,1,0,0,0,0,0,0
2018-12-09 13:26:47,1,0,0,0,0,0,0
2018-12-09 13:26:48,2,0,0,0,0,0,0
2018-12-09 13:26:49,2,0,0,0,0,0,0
2018-12-09 13:26:50,1,0,0,1,0,0,0
2018-12-09 13:26:51,1,0,0,0,0,0,0
2018-12-09 13:26:52,1,0,0,0,0,0,0
2018-12-09 13:26:53,1,0,0,0,0,0,0
2018-12-09 13:26:54,3,0,0,0,0,0,0
2018-12-09 13:26:56,1,0,0,0,0,0,0
2018-12-09 13:26:58,4,0,0,0,0,0,0
2018-12-09 13:26:59,3,0,0,0,0,0,0
2018-12-09 13:27:00,1,0,0,0,0,0,0
2018-12-09 13:27:02,1,0,0,0,0,0,0
2018-12-09 13:27:03,2,0,0,0,0,0,0
2018-12-09 13:27:04,1,0,0,0,0,0,0
2018-12-09 13:27:05,4,0,0,0,0,0,0
2018-12-09 13:27:09,1,0,0,0,0,0,0
2018-12-09 13:27:11,4,0,0,1,0,0,0
2018-12-09 13:27:12,1,0,0,0,0,0,0
2018-12-09 13:27:13,2,0,0,0,0,0,0
2018-12-09 13:27:14,3,0,0,0,0,0,0
2018-12-09 13:27:15,1,0,0,0,0,0,0
2018-12-09 13:27:16,2,0,0,0,0,0,0
2018-12-09 13:27:17,2,0,0,2,0,0,0
2018-12-09 13:27:18,1,0,0,0,0,0,0
2018-12-09 13:27:21,1,0,0,0,0,0,0
2018-12-09 13:27:22,1,0,0,0,0,0,0
2018-12-09 13:27:25,2,0,0,0,0,0,0
2018-12-09 13:27:26,2,0,0,1,0,0,0
2018-12-09 13:27:27,1,0,0,0,0,0,0
2018-12-09 13:27:28,2,0,0,0,0,0,0
2018-12-09 13:27:32,1,0,0,0,0,0,0
2018-12-09 13:27:33,1,0,0,0,0,0,0
2018-12-09 13:27:38,2,0,0,0,0,0,0
2018-12-09 13:27:39,2,0,0,0,0,0,0
2018-12-09 13:27:42,1,0,0,0,0,0,0
2018-12-09 13:27:46,1,0,0,0,0,0,0
2018-12-09 13:27:49,1,0,0,0,0,0,0
2018-12-09 13:27:51,1,0,0,2,2,0,0
2018-12-09 13:27:52,1,0,0,0,0,0,0
2018-12-09 13:27:56,1,0,0,0,0,0,0
2018-12-09 13:28:02,1,0,0,0,0,0,0
2018-12-09 13:28:04,1,0,0,1,0,0,0
2018-12-09 13:28:06,1,0,0,0,0,0,0
2018-12-09 13:28:20,2,0,0,0,0,0,0
2018-12-09 13:28:22,1,0,0,0,0,0,0
2018-12-09 13:28:25,1,0,0,0,0,0,0
2018-12-09 13:28:26,1,0,0,0,0,0,0
2018-12-09 13:28:29,1,0,0,0,0,0,0
2018-12-09 13:28:33,1,0,0,0,0,0,0
2018-12-09 13:28:34,1,0,0,0,0,0,0
2018-12-09 13:28:35,1,0,0,0,0,0,0
2018-12-09 13:28:36,1,0,0,0,0,0,0
2018-12-09 13:28:39,1,0,0,0,0,0,0
2018-12-09 13:28:44,1,0,0,0,0,0,0
2018-12-09 13:28:47,1,0,0,0,0,0,0
2018-12-09 13:28:50,1,0,0,0,0,0,0
2018-12-09 13:28:51,1,0,0,0,0,0,0
2018-12-09 13:28:52,1,0,0,0,0,0,0
2018-12-09 13:28:53,1,0,0,0,0,0,0
2018-12-09 13:28:56,1,0,0,0,0,0,0
2018-12-09 13:28:57,1,0,0,0,0,0,0
2018-12-09 13:28:59,1,0,0,0,0,0,0
2018-12-09 13:29:00,2,0,0,0,0,0,0
2018-12-09 13:29:01,1,0,0,0,0,0,0
2018-12-09 13:29:04,1,0,0,0,0,0,0
2018-12-09 13:29:07,1,0,0,0,0,0,0
2018-12-09 13:29:11,1,8,0,0,0,0,0
2018-12-09 13:29:14,1,0,0,0,0,0,0
2018-12-09 13:29:17,2,0,1,0,0,0,0
2018-12-09 13:29:18,1,0,0,0,0,0,0
2018-12-09 13:29:19,2,0,0,0,0,0,0
2018-12-09 13:29:20,2,13,1,0,0,0,0
2018-12-09 13:29:21,1,0,0,0,0,0,0
2018-12-09 13:29:22,3,7,0,0,0,0,0
2018-12-09 13:29:24,2,5,0,0,0,0,0
2018-12-09 13:29:25,4,0,0,1,0,0,0
2018-12-09 13:29:26,1,0,0,0,0,0,0
2018-12-09 13:29:28,3,0,0,0,0,0,0
2018-12-09 13:29:29,1,0,0,0,0,0,0
2018-12-09 13:29:30,3,0,0,0,0,0,0
2018-12-09 13:29:32,1,0,0,0,0,0,0
2018-12-09 13:29:33,1,0,0,0,0,0,0
2018-12-09 13:29:34,1,0,0,0,0,0,0
2018-12-09 13:29:35,1,0,0,0,0,0,0
2018-12-09 13:29:36,1,0,0,0,0,0,0
2018-12-09 13:29:37,1,0,0,0,0,0,0
2018-12-09 13:29:39,2,0,0,0,0,0,0
2018-12-09 13:29:41,2,0,0,0,0,0,0
2018-12-09 13:29:42,1,0,0,0,0,0,0
2018-12-09 13:29:43,1,0,0,0,0,0,0
2018-12-09 13:29:44,2,5,0,0,0,0,0
2018-12-09 13:29:45,2,0,0,0,0,0,0
2018-12-09 13:29:46,2,0,0,0,0,0,0
2018-12-09 13:29:47,1,0,0,0,0,0,0
2018-12-09 13:29:50,2,3,0,0,0,0,0
2018-12-09 13:29:51,1,0,0,0,0,0,0
2018-12-09 13:29:52,2,0,0,0,0,0,0
2018-12-09 13:29:53,2,0,0,0,0,0,0
2018-12-09 13:29:54,1,0,0,0,0,0,0
2018-12-09 13:29:57,2,0,0,0,0,0,0
2018-12-09 13:29:58,1,0,0,0,1,0,0
2018-12-09 13:29:59,1,0,0,0,0,0,0
2018-12-09 13:30:00,1,0,0,0,0,0,0
2018-12-09 13:30:03,2,0,0,0,0,0,0
2018-12-09 13:30:04,1,0,0,0,0,0,0
2018-12-09 13:30:05,1,0,0,0,0,0,0
2018-12-09 13:30:07,1,0,0,0,0,0,0
2018-12-09 13:30:08,2,0,0,0,0,0,0
2018-12-09 13:30:09,2,0,0,0,0,0,0
2018-12-09 13:30:10,3,14,0,0,0,0,0
2018-12-09 13:30:11,3,0,0,0,0,0,0
2018-12-09 13:30:13,2,0,0,0,0,0,0
2018-12-09 13:30:14,2,0,0,0,0,0,0
2018-12-09 13:30:15,1,0,0,0,0,0,0
2018-12-09 13:30:16,1,0,0,0,0,0,0
2018-12-09 13:30:17,1,0,0,0,0,0,0
2018-12-09 13:30:18,3,0,0,0,0,0,0
2018-12-09 13:30:19,4,0,0,0,0,0,0
2018-12-09 13:30:20,1,0,0,0,0,0,0
2018-12-09 13:30:21,1,0,0,0,0,0,0
2018-12-09 13:30:22,3,0,0,0,0,0,0
2018-12-09 13:30:23,1,0,0,0,0,0,0
2018-12-09 13:30:24,2,0,0,0,0,0,0
2018-12-09 13:30:25,2,0,0,0,0,0,0
2018-12-09 13:30:26,4,0,0,0,0,0,0
2018-12-09 13:30:27,3,0,0,0,0,0,0
2018-12-09 13:30:28,2,0,0,0,0,0,0
2018-12-09 13:30:30,2,0,0,0,0,0,0
2018-12-09 13:30:31,2,0,0,0,0,0,0
2018-12-09 13:30:32,1,0,0,0,0,0,0
2018-12-09 13:30:34,2,0,0,0,0,0,0
2018-12-09 13:30:35,2,0,0,0,0,0,0
2018-12-09 13:30:36,2,0,0,1,0,0,0
2018-12-09 13:30:37,2,0,0,0,0,0,0
2018-12-09 13:30:38,3,0,0,0,0,0,0
2018-12-09 13:30:39,1,0,0,0,0,0,0
2018-12-09 13:30:41,1,0,0,0,0,0,0
2018-12-09 13:30:43,2,0,0,0,0,0,0
2018-12-09 13:30:44,1,0,0,0,0,0,0
2018-12-09 13:30:47,1,0,0,0,0,0,0
2018-12-09 13:30:49,2,0,0,0,0,0,0
2018-12-09 13:30:51,1,0,0,0,0,0,0
2018-12-09 13:30:52,3,0,0,0,0,0,0
2018-12-09 13:30:53,1,0,0,0,0,0,0
2018-12-09 13:30:54,2,0,0,0,0,0,0
2018-12-09 13:30:55,3,0,0,0,0,0,0
2018-12-09 13:30:56,2,0,0,0,0,0,0
2018-12-09 13:30:57,1,0,0,0,0,0,0
2018-12-09 13:30:58,1,0,0,0,0,0,0
2018-12-09 13:31:00,2,0,0,0,0,0,0
2018-12-09 13:31:01,1,0,0,0,0,0,0
2018-12-09 13:31:04,3,0,0,1,0,0,0
2018-12-09 13:31:05,2,0,0,0,0,0,0
2018-12-09 13:31:06,2,0,0,0,0,0,0
2018-12-09 13:31:09,1,0,0,0,0,0,0
2018-12-09 13:31:12,1,0,0,0,0,0,0
2018-12-09 13:31:16,1,0,0,0,0,0,0
2018-12-09 13:31:17,1,0,0,0,0,0,0
2018-12-09 13:31:20,1,0,0,0,0,0,0
2018-12-09 13:31:22,1,0,0,0,0,0,0
2018-12-09 13:31:24,1,0,0,0,0,0,0
2018-12-09 13:31:25,1,0,0,0,0,0,0
2018-12-09 13:31:29,2,0,0,2,0,0,0
2018-12-09 13:31:33,1,0,0,0,0,0,0
2018-12-09 13:31:34,1,0,0,0,0,0,0
2018-12-09 13:31:38,1,0,0,0,0,0,0
2018-12-09 13:31:39,3,0,0,0,0,0,0
2018-12-09 13:31:40,1,0,0,0,0,0,0
2018-12-09 13:31:42,2,0,0,0,0,0,0
2018-12-09 13:31:43,2,0,0,0,0,0,0
2018-12-09 13:31:45,1,6,0,0,0,0,0
2018-12-09 13:31:46,2,0,0,0,0,0,0
2018-12-09 13:31:49,1,0,0,0,0,0,0
2018-12-09 13:31:53,1,0,0,0,0,0,0
2018-12-09 13:31:54,2,0,0,0,0,0,0
2018-12-09 13:31:55,1,0,0,0,0,0,0
2018-12-09 13:31:56,2,0,0,0,0,0,0
2018-12-09 13:31:58,1,0,0,0,0,0,0
2018-12-09 13:31:59,2,0,0,0,0,0,0
2018-12-09 13:32:00,1,0,0,0,0,0,0
2018-12-09 13:32:01,1,0,0,0,0,0,0
2018-12-09 13:32:02,2,0,0,0,0,0,0
2018-12-09 13:32:03,4,0,0,1,0,0,0
2018-12-09 13:32:04,3,14,0,1,0,0,0
2018-12-09 13:32:05,5,0,0,0,0,0,0
2018-12-09 13:32:06,2,0,0,0,0,0,0
2018-12-09 13:32:07,1,0,0,0,0,0,0
2018-12-09 13:32:08,2,0,0,0,0,0,0
2018-12-09 13:32:09,2,0,0,0,0,0,0
2018-12-09 13:32:10,1,0,0,0,0,0,0
2018-12-09 13:32:11,1,0,0,0,0,0,0
2018-12-09 13:32:13,2,6,0,0,0,0,0
2018-12-09 13:32:14,1,0,0,0,0,0,0
2018-12-09 13:32:15,1,0,0,1,0,0,0
2018-12-09 13:32:16,1,0,0,0,0,0,0
2018-12-09 13:32:18,2,0,0,0,0,0,0
2018-12-09 13:32:19,2,0,0,0,0,0,0
2018-12-09 13:32:20,4,0,0,0,0,0,0
2018-12-09 13:32:21,3,0,0,0,0,0,0
2018-12-09 13:32:22,1,0,0,0,0,0,0
2018-12-09 13:32:23,3,6,0,0,0,0,0
2018-12-09 13:32:24,2,0,0,0,0,0,0
2018-12-09 13:32:25,1,0,0,0,0,0,0
2018-12-09 13:32:26,3,0,0,1,0,0,0
2018-12-09 13:32:27,1,0,0,0,0,0,0
2018-12-09 13:32:28,1,0,0,0,0,0,0
2018-12-09 13:32:29,2,0,0,0,0,0,0
2018-12-09 13:32:30,1,4,0,0,0,0,0
2018-12-09 13:32:31,3,0,0,0,0,0,0
2018-12-09 13:32:32,1,0,0,0,0,0,0
2018-12-09 13:32:34,1,0,0,0,0,0,0
2018-12-09 13:32:35,3,0,0,0,0,0,0
2018-12-09 13:32:36,1,0,0,0,0,0,0
2018-12-09 13:32:37,1,0,0,0,0,0,0
2018-12-09 13:32:38,1,0,0,0,0,0,0
2018-12-09 13:32:39,1,0,0,0,0,0,0
2018-12-09 13:32:41,1,0,0,0,0,0,0
2018-12-09 13:32:42,2,4,0,0,0,0,0
2018-12-09 13:32:43,1,0,0,0,0,0,0
2018-12-09 13:32:44,5,0,0,1,0,0,0
2018-12-09 13:32:48,2,0,0,0,0,0,0
2018-12-09 13:32:49,2,0,0,0,0,0,0
2018-12-09 13:32:50,2,0,0,0,0,0,0
2018-12-09 13:32:51,2,0,0,0,0,0,0
2018-12-09 13:32:52,1,2,0,0,0,0,0
2018-12-09 13:32:56,1,0,0,0,0,0,0
2018-12-09 13:32:57,1,0,0,0,0,0,0
2018-12-09 13:32:58,1,0,0,0,0,0,0
2018-12-09 13:32:59,1,0,0,0,0,0,0
2018-12-09 13:33:00,2,0,0,0,0,0,0
2018-12-09 13:33:01,1,0,0,0,0,0,0
2018-12-09 13:33:02,2,0,0,0,0,0,0
2018-12-09 13:33:03,4,0,0,0,0,0,0
2018-12-09 13:33:04,3,0,0,0,0,0,0
2018-12-09 13:33:05,3,0,0,0,1,0,0
2018-12-09 13:33:06,1,0,0,0,0,0,0
2018-12-09 13:33:07,1,0,0,0,0,0,0
2018-12-09 13:33:08,1,0,0,0,0,0,0
2018-12-09 13:33:09,1,0,0,0,0,0,0
2018-12-09 13:33:10,3,0,0,0,0,0,0
2018-12-09 13:33:11,1,0,0,0,0,0,0
2018-12-09 13:33:12,2,0,0,0,0,0,0
2018-12-09 13:33:14,1,0,0,0,0,0,0
2018-12-09 13:33:15,1,0,0,0,1,0,0
2018-12-09 13:33:16,1,0,0,0,0,0,0
2018-12-09 13:33:17,1,0,0,0,0,0,0
2018-12-09 13:33:18,4,0,0,0,0,0,0
2018-12-09 13:33:19,2,0,0,0,0,0,0
2018-12-09 13:33:20,1,0,0,0,0,0,0
2018-12-09 13:33:21,3,6,0,0,0,0,0
2018-12-09 13:33:22,1,0,0,0,0,0,0
2018-12-09 13:33:23,5,0,0,0,0,0,0
2018-12-09 13:33:24,2,0,0,0,0,0,0
2018-12-09 13:33:25,4,11,0,0,0,0,0
2018-12-09 13:33:26,2,0,0,0,0,0,0
2018-12-09 13:33:27,1,0,0,0,0,0,0
2018-12-09 13:33:29,3,0,0,0,0,0,0
2018-12-09 13:33:30,2,0,0,0,0,0,0
2018-12-09 13:33:31,4,2,0,0,0,0,0
2018-12-09 13:33:32,3,0,0,0,0,0,0
2018-12-09 13:33:33,5,14,0,0,0,0,0
2018-12-09 13:33:34,2,15,0,0,0,0,0
2018-12-09 13:33:35,1,0,0,0,0,0,0
2018-12-09 13:33:36,1,25,0,0,0,0,0
2018-12-09 13:33:38,1,0,0,0,0,0,0
2018-12-09 13:33:40,2,0,0,0,0,0,0
2018-12-09 13:33:42,2,0,0,0,0,0,0
2018-12-09 13:33:46,1,0,0,0,0,0,0
2018-12-09 13:33:51,1,0,0,0,0,0,0
2018-12-09 13:33:56,1,0,0,0,0,0,0
2018-12-09 13:33:58,2,0,0,0,0,0,0
2018-12-09 13:34:00,2,0,0,0,0,0,0
2018-12-09 13:34:01,3,0,0,0,0,0,0
2018-12-09 13:34:05,1,0,0,0,0,0,0
2018-12-09 13:34:07,1,0,0,1,0,0,0
2018-12-09 13:34:16,3,0,0,0,0,0,0
2018-12-09 13:34:17,2,0,0,0,0,0,0
