time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,validation
2018-12-07 08:21:23,1,0,0,0,0,0,0
2018-12-07 08:59:20,1,0,0,0,0,0,0
2018-12-07 08:59:49,1,0,0,0,0,0,0
2018-12-07 08:59:52,1,0,0,0,0,0,0
2018-12-07 08:59:58,2,0,0,0,0,0,0
2018-12-07 08:59:59,1,0,0,0,0,0,0
2018-12-07 09:00:01,1,0,0,0,0,0,0
2018-12-07 09:00:02,1,0,0,0,0,0,0
2018-12-07 09:00:04,1,0,0,0,0,0,0
2018-12-07 09:00:05,1,0,0,0,0,0,0
2018-12-07 09:00:06,1,0,0,0,0,0,0
2018-12-07 09:00:08,1,0,0,0,0,0,0
2018-12-07 09:00:09,2,0,0,0,0,0,0
2018-12-07 09:00:11,1,0,0,0,0,0,0
2018-12-07 09:00:14,1,0,0,0,0,0,0
2018-12-07 09:00:15,2,0,0,0,0,0,0
2018-12-07 09:00:16,2,0,0,0,0,0,0
2018-12-07 09:00:17,1,0,0,0,0,0,0
2018-12-07 09:00:18,1,0,0,0,0,0,0
2018-12-07 09:00:20,2,0,0,0,0,0,0
2018-12-07 09:00:25,1,0,0,0,0,0,0
2018-12-07 09:00:27,1,0,0,0,0,0,0
2018-12-07 09:00:28,1,0,0,0,0,0,0
2018-12-07 09:00:34,1,0,0,0,0,0,0
2018-12-07 09:00:38,2,0,0,0,0,0,0
2018-12-07 09:00:43,1,0,0,0,0,0,0
2018-12-07 09:00:44,1,0,0,0,0,0,0
2018-12-07 09:00:47,1,0,0,0,0,0,0
2018-12-07 09:00:49,1,0,0,0,0,0,0
2018-12-07 09:00:55,1,0,0,0,0,0,0
2018-12-07 09:00:58,2,0,0,0,0,0,0
2018-12-07 09:01:00,1,0,0,0,0,0,0
2018-12-07 09:01:04,1,0,0,0,0,0,0
2018-12-07 09:01:09,1,0,0,0,0,0,0
2018-12-07 09:01:13,1,0,0,0,0,0,0
2018-12-07 09:01:14,1,0,0,0,0,0,0
2018-12-07 09:01:22,1,0,0,0,0,0,0
2018-12-07 09:01:26,1,0,0,0,0,0,0
2018-12-07 09:01:33,1,0,0,0,0,0,0
2018-12-07 09:01:40,2,0,0,0,0,0,0
