time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-12 00:00:01,2,0,0,0,0,0,0,0
2018-12-12 00:00:02,1,0,0,0,0,0,0,0
2018-12-12 00:00:04,1,0,0,0,0,0,0,0
2018-12-12 00:00:05,2,16,0,0,0,0,0,0
2018-12-12 00:00:06,4,3,0,0,0,0,0,0
2018-12-12 00:00:07,2,3,0,0,1,0,0,0
2018-12-12 00:00:08,2,0,0,0,0,0,0,0
2018-12-12 00:00:09,1,0,0,0,0,0,0,0
2018-12-12 00:00:13,4,12,0,0,0,0,0,0
2018-12-12 00:00:14,1,0,0,0,0,0,0,0
2018-12-12 00:00:15,2,0,0,0,0,0,0,0
2018-12-12 00:00:16,2,0,0,0,0,0,0,0
2018-12-12 00:00:17,2,0,0,0,0,0,0,0
2018-12-12 00:00:18,3,0,0,0,0,0,0,0
2018-12-12 00:00:19,3,0,0,0,0,0,0,0
2018-12-12 00:00:20,1,0,0,0,0,0,0,0
2018-12-12 00:00:21,1,0,0,0,0,0,0,0
2018-12-12 00:00:23,2,7,0,0,0,0,0,0
2018-12-12 00:00:24,1,0,0,0,0,0,0,0
2018-12-12 00:00:25,1,0,0,0,0,0,0,0
2018-12-12 00:00:26,1,0,0,0,0,0,0,0
2018-12-12 00:00:27,3,0,0,0,0,0,0,0
2018-12-12 00:00:28,3,0,0,0,0,0,0,0
2018-12-12 00:00:29,4,0,0,0,0,0,0,0
2018-12-12 00:00:30,4,0,0,0,0,0,0,0
2018-12-12 00:00:31,3,0,0,0,1,0,0,0
2018-12-12 00:00:32,2,0,0,0,0,0,0,0
2018-12-12 00:00:34,1,0,0,1,0,0,0,0
2018-12-12 00:00:35,2,0,0,2,1,0,0,0
2018-12-12 00:00:36,1,0,0,0,0,0,0,0
2018-12-12 00:00:37,1,8,0,0,0,0,0,0
2018-12-12 00:00:38,1,11,0,0,0,0,0,0
2018-12-12 00:00:39,1,25,0,0,0,0,0,0
2018-12-12 00:00:40,3,0,0,0,0,0,0,0
2018-12-12 00:00:41,3,25,0,0,0,0,0,0
2018-12-12 00:00:42,3,18,0,0,0,0,0,0
2018-12-12 00:00:43,9,20,0,0,0,0,0,0
2018-12-12 00:00:44,7,33,0,0,0,0,0,0
2018-12-12 00:00:45,5,38,0,1,0,0,0,0
2018-12-12 00:00:46,6,1,0,0,0,0,0,0
2018-12-12 00:00:48,4,18,0,0,0,0,0,0
2018-12-12 00:00:49,5,11,0,0,0,0,0,0
2018-12-12 00:00:50,3,17,0,0,0,0,0,0
2018-12-12 00:00:51,5,0,0,0,0,0,0,0
2018-12-12 00:00:52,3,0,0,0,0,0,0,0
2018-12-12 00:00:53,5,0,0,0,0,0,0,0
2018-12-12 00:00:54,3,0,0,0,0,0,0,0
2018-12-12 00:00:55,3,0,0,0,0,0,0,0
2018-12-12 00:00:57,1,0,0,0,0,0,1,0
2018-12-12 00:00:58,1,0,0,0,0,0,0,0
2018-12-12 00:00:59,1,0,0,0,0,0,0,0
2018-12-12 00:01:01,2,13,0,0,0,0,0,0
2018-12-12 00:01:02,2,9,0,0,0,0,0,0
2018-12-12 00:01:03,2,30,0,0,0,0,0,0
